MUL IMUL;r8;7-9
MUL IMUL;r16;7-9
MUL IMUL;r32;7-9
MUL IMUL;r64;8-10
IMUL;r16,r16;4-6
IMUL;r32,r32;4-6
IMUL;r64,r64;5-7
IMUL;r16,r16,i;4-6
IMUL;r32,r32,i;4-6
IMUL;r64,r64,i;5-7
DIV;r16;27-35
DIV;r32;25-41
DIV;r64;148-183
IDIV;r16;27-35
IDIV;r32;23-39
IDIV;r64;187-222
CPUID;;53-173
FDIV(R)(P);r/m;15-42
FPREM;;151-171
FPREM1;;106-155
FXTRACT;;36-57
FSIN FCOS;;51-159
FSINCOS;;270-360
F2XM1;;50-200
FPTAN;;300-370
MOVD;m32/m64,mm/x;2-3
MOVD;mm/x,m32/m64;2-3
MOVQ;mm/x,m64;2-3
MOVQ;m64,mm/x;2-3
MOVDQA;xmm,m128;2-3
MOVDQA;m128,xmm;2-3
MOVDQU;m128,xmm;2-3
MOVDQU;xmm,m128;2-3
LDDQU;xmm,m128;2-3
MOVAPS/D;xmm,m128;2-3
MOVAPS/D;m128,xmm;2-3
MOVUPS/D;xmm,m128;2-3
MOVUPS/D;m128,xmm;2-3
MOVSS/D;x,m32/m64;2-3
MOVSS/D;m32/m64,x;2-3
CVTPD2PS;xmm,xmm;3-4
CVTPS2PD;xmm,xmm;3-4
ADDSS SUBSS;xmm,xmm;2-3
ADDSD SUBSD;xmm,xmm;2-3
ADDPS SUBPS;xmm,xmm;2-3
ADDPD SUBPD;xmm,xmm;2-3
ADDSUBPS;xmm,xmm;2-3
ADDSUBPD;xmm,xmm;2-3
DIVSS;xmm,xmm;15-22
DIVSD;xmm,xmm;15-36
DIVPS;xmm,xmm;42-82
DIVPD;xmm,xmm;24-70
