MOV;r32/r64,r32/r64;0-1
LEA;r16,m;2-4
DIV;r64;35-88
IDIV;r64;42-95
FDIV(R)(P);r;14-16
FPREM;;26-30
FPREM1;;30-57
FSQRT;;14-21
FSIN;;50-120
FCOS;;50-130
FSINCOS;;55-150
F2XM1;;65-80
FPTAN;;140-160
FPATAN;;100-160
MOVDQA/U;x,x;0-1
VMOVDQA/U;y,y;0-1
VMOVDQA/U;z,z;0-1
VPBLENDMD/Q;v{k},v,v;1-2
MASKMOVDQU;x,x;300-800
PMOVMSKB;r,v;2-3
VINSERTI128;y,y,m,i;4-5
VINSERTI32x4;z,z,m,i;4-5
VINSERTI64x4;z,z,m,i;4-5
VPSCATTERDD;[r+s*z]{k},z;17-20
MOVAPS/D;x,x;0-1
VMOVAPS/D;y,y;0-1
VMOVAPS/D;z,z;0-1
MOVSH/LDUP;v,m;3-4
VPSCATTERDPS;[r+s*z]{k},z;17-20
VCVTPS2PH;x,v,i;5-7
VCVTPS2PH;y,z,i;5-7
VCVTPH2PS;v,x;5-7
VCVTPH2PS;z,y;5-7
DIVSD;x,x;13-14
DIVPD;x,x;13-14
VDIVPD;y,y,y;13-14
SQRTSD;x,x;15-16
SQRTPD;x,x;15-16
VSQRTPD;y,y;15-16
VSQRTPD;z,z;28-29
