MOV;r,m32/m64;0-3
MOV;m,r32/r64;0-3
MOVNTI;m,r;~900
MOVZX, MOVSX;r,m;3-4
XCHG;r,m;7-8
LEA;r16,[m];1-4
ADD, SUB;m,r;7-8
INC, DEC, NEG;m;7-8
DIV;r16/m16;11-12
DIV;r32/m32;9-12
DIV;r64/m64;9-17
IDIV;r16/m16;11-12
IDIV;r32/m32;9-12
IDIV;r64/m64;9-17
AND, OR, XOR;m,r/i;7-8
NOT;m;7-8
LOCK ADD;m,r;~8
FADD(P), FSUB(R)(P);r/m;6-7
FMUL(P);r/m;6-7
FPREM FPREM1;;24-70
FSIN;;40-200
FCOS;;50-140
FSINCOS;;80-150
FPTAN;;60-120
FPATAN;;50-180
F2XM1;;50-60
FYL2X;;40-60
FYL2XP1;;40-180
MOVNTQ;m,mm;~800
MOVNTDQ;m,x;~800
VMOVNTDQ;m,y;~800
MASKMOVQ;mm,mm;~850
MASKMOVDQU;x,x;~850
MOVNTPS/D;m,v;~820
