MOV;r,r;1
MOV;r,i;1
MOV;r8,m8;4
MOV;r16,m16;4
MOV;r32,m32;3
MOV;r64,m64;3
MOV;m8,r8H;8
MOV;m8,r8L;3
MOV;m16/m32/m64,r;3
MOV;m,i;3
MOV;m64,i32;3
MOV;r,sr;2
MOV;sr,r/m;9-13
MOVNTI;m,r;
MOVZX, MOVSX;r,r;1
MOVZX, MOVSX;r,m;4
MOVSXD;r64,r32;1
MOVSXD;r64,m32;
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r,r;2
XCHG;r,m;16
XLAT;;5
PUSH;r;1
PUSH;i;1
PUSH;m;1
PUSH;sr;1
PUSHF(D/Q);;2
PUSHA(D);;4
POP;r;1
POP;m;1
POP;DS/ES/FS/GS;8
POP;SS;28
POPF(D/Q);;10
POPA(D);;4
LEA;r16,[m];3
LEA;r32,[m];2
LEA;r64,[m];2
LAHF;;3
SAHF;;1
SALC;;1
LDS, LES, ...;r,m;
BSWAP;r;1
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
SFENCE;;
LFENCE;;
MFENCE;;
IN;r,i/DX;
OUT;i/DX,r;
ADD, SUB;r,r/i;1
ADD, SUB;r,m;1
ADD, SUB;m,r;7
ADC, SBB;r,r/i;1
ADC, SBB;r,m;1
ADC, SBB;m,r/i;7
CMP;r,r/i;1
CMP;r,m;
INC, DEC, NEG;r;1
INC, DEC, NEG;m;7
AAA, AAS;;5
DAA;;6
DAS;;7
AAD;;5
AAM;;13
MUL, IMUL;r8/m8;3
MUL, IMUL;r16/m16;3-4
MUL, IMUL;r32/m32;3
MUL, IMUL;r64/m64;4-5
IMUL;r16,r16/m16;3
IMUL;r32,r32/m32;3
IMUL;r64,r64/m64;4
IMUL;r16,(r16),i;4
IMUL;r32,(r32),i;3
IMUL;r64,(r64),i;4
IMUL;r16,m16,i;
IMUL;r32,m32,i;
IMUL;r64,m64,i;
DIV;r8/m8;15
DIV;r16/m16;23
DIV;r32/m32;39
DIV;r64/m64;71
IDIV;r8;17
IDIV;r16;25
IDIV;r32;41
IDIV;r64;73
IDIV;m8;17
IDIV;m16;25
IDIV;m32;41
IDIV;m64;73
CBW, CWDE, CDQE;;1
CWD, CDQ, CQO;;1
AND, OR, XOR;r,r;1
AND, OR, XOR;r,m;1
AND, OR, XOR;m,r;7
TEST;r,r;1
TEST;r,m;1
NOT;r;1
NOT;m;7
SHL, SHR, SAR;r,i/cl;1
ROL, ROR;r,i/cl;1
RCL, RCR;r,1;1
RCL;r,i;3
RCR;r,i;3
RCL;r,cl;4
RCR;r,cl;3
SHL, SHR, SAR, ROL, ROR;m,i/cl;7
RCL, RCR;m,1;7
RCL;m,i;9
RCR;m,i;8
RCL;m,cl;7
RCR;m,cl;8
SHLD, SHRD;r,r,i;3
SHLD, SHRD;r,r,cl;3
