MOV;r,r;0.5-1.5
MOV;r,i;0.5-1.5
MOV;r32,m;2
MOV;r8/r16,m;3
MOV;m,r;1
MOV;m,i;
MOV;r,sr;
MOV;sr,r/m;12
MOVNTI;m,r32;
MOVZX;r,r;0.5-1.5
MOVZX;r,m;2
MOVSX;r,r;0.5-1.5
MOVSX;r,m;3-4
CMOVcc;r,r/m;6
XCHG;r,r;1.5-2.5
XCHG;r,m;>100
XLAT;;3
PUSH;r;1
PUSH;i;1
PUSH;m;
PUSH;sr;
PUSHF(D);;
PUSHA(D);;
POP;r;1
POP;m;
POP;sr;
POPF(D);;
POPA(D);;
LEA;r,[r+r]/[r+i];0.5-1.5
LEA;r,[r+r+i];1.5-2.5
LEA;r,[r*i];4-5
LEA;r,[r+r*i];4-5
LEA;r,[r+r*i+i];4-5
LAHF;;4
SAHF;;0.5-1.5
SALC;;5
LDS, LES;r,m;
BSWAP;r;7
IN, OUT;r,r/i;
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
SFENCE;;
LFENCE;;
MFENCE;;
ADD, SUB;r,r;0.5-1.5
ADD, SUB;r,m;1.5-2.5
ADD, SUB;m,r;≥ 8
ADC, SBB;r,r;6
ADC, SBB;r,i;6
ADC, SBB;r,m;8
ADC, SBB;m,r;≥ 9
CMP;r,r;0.5-1.5
CMP;r,m;1-2
INC, DEC;r;0.5-1.5
INC, DEC;m;4
NEG;r;0.5-1.5
NEG;m;
AAA, AAS;;90
DAA, DAS;;100
AAD;;22
AAM;;56
MUL, IMUL;r8/r32;16
MUL, IMUL;r16;17
MUL, IMUL;m8/m32;16
MUL, IMUL;m16;16
IMUL;r32,r;14
IMUL;r32,(r),i;14
IMUL;r16,r;16
IMUL;r16,r,i;15
IMUL;r16,m16;15
IMUL;r32,m32;14
IMUL;r,m,i;14
DIV;r8/m8;61
DIV;r16/m16;53
DIV;r32/m32;50
IDIV;r8/m8;61
IDIV;r16/m16;53
IDIV;r32/m32;50
CBW;;1-2
CWD, CDQ;;1-2
CWDE;;0.5-1.5
AND, OR, XOR;r,r;0.5-1.5
AND, OR, XOR;r,m;≥ 1
AND, OR, XOR;m,r;≥ 8
TEST;r,r;0.5-1.5
TEST;r,m;≥ 1
NOT;r;0.5-1.5
NOT;m;
SHL, SHR, SAR;r,i;4-5
SHL, SHR, SAR;r,cl;6
ROL, ROR;r,i;4-5
ROL, ROR;r,cl;6
RCL, RCR;r,1;4-5
RCL, RCR;r,i;16
RCL, RCR;r,cl;16
SHL, SHR, SAR, ROL, ROR;m,i/cl;10
RCL, RCR;m,1;10
RCL, RCR;m,i/cl;18-28
SHLD, SHRD;r,r,i/cl;14
SHLD, SHRD;m,r,i/cl;14
BT;r,i;4
BT;r,r;4
BT;m,i;4
BT;m,r;12
BTR, BTS, BTC;r,i;6
BTR, BTS, BTC;r,r;6
BTR, BTS, BTC;m,i;18
BTR, BTS, BTC;m,r;14
BSF, BSR;r,r;4
BSF, BSR;r,m;4
SETcc;r;5
SETcc;m;5
CLC, STC;;10
CMC;;10
CLD;;52
STD;;48
CLI;;35
STI;;43
JMP;short/near;0
JMP;far;118
JMP;r;4
JMP;m(near);4
JMP;m(far);11
