INC DEC;r;1-2
DIV ;r/m16;30-35
DIV ;r/m32;29-42
DIV;r/m 64;39-95
IDIV;r/m16;38-42
IDIV;r/m32;37-49
IDIV;r/m64;53-108
CPUID;;63-270
FPREM ;;26-47
FPREM1;;33-72
FSQRT;;15-42
FSIN FCOS;;40-250
FSINCOS;;50-250
F2XM1;;100-400
FYL2X;;126-190
FPTAN;;50-280
FPATAN;;125-265
VPACKSSWB/DW VPACKUSWB/DW;mm/x, mm/x;2-6
VPACKSSWB/DW VPACKUSWB/DW;y/z,y/z,y/z;11-14
PUNPCKH/LBW/WD/DQ;mm/x, mm/x;2-6
VPUNPCKH/LBW/WD;y/z,y/z,y/z;11-14
PUNPCKH/LQDQ;mm/x, mm/x;2-6
VPUNPCKH/L(Q)DQ;y/z,y/z,y/z;4-7
PSHUFB;mm,mm;2-6
PSHUFB;x,x;11-13
VPSHUFB;y,y,y;23-25
PSHUFW ;mm,mm,i;2-6
PSHUFL/HW;x,x,i;2-6
VPSHUFL/HW;y,y,i;11-14
(V)PSHUFD;v,v,i;3-6
PALIGNR;mm,mm,i;2-6
PALIGNR;x,x,i;2-6
VPALIGNR;y,y,y,i;11-14
VALIGND/Q;z,z,z,i;3-6
VPCOMPRESSD/Q;z{k},z;3-6
VPEXPANDD/Q;z{k},z;3-6
PBLENDVB;x,x,xmm0;9-10
VPBLENDVB;v,v,v,v;8-10
VPERMD;v,v,v;3-6
VPERMQ;v,v,i;3-6
VPERM2I128;v,v,v,i;4-7
VPERMI2D VPERMT2D;v,v,v;4-7
VPERMI2Q VPERMT2Q;v,v,v;4-7
VSHUFI32X4;z,z,z,i;4-7
VSHUFI64X2;z,z,z,i;4-7
VEXTRACTI128;x,y,i;3-6
VINSERTI128;y,y,x,i;3-6
VINSERTI32X4;z,z,x,i;3-6
VINSERTI64X4;z,z,y,i;3-6
PCLMULQDQ;x,x,i;3-6
AESDEC, AESDECLAST, AESENC, AESENCLAST, AESIMC, AESKEYGENASSIST;x,x;3-6
MOVLHPS MOVHLPS;x,x;3-6
MOVDDUP;x,x;3-6
VMOVDDUP;v,v;3-6
(V)MOVSH/LDUP;v,v;3-6
VBROADCASTSS/D;v,x;3-6
VUNPCKH/LPS/D;v,v,v;4-7
INSERTF128;y,x;3-6
VINSERTF32X4;z,z,x;3-6
VINSERTF64X4;z,z,y;3-6
VEXTRACTF128;x,y,i;3-6
VEXTRACTF32X4;x,z;3-6
VEXTRACTF64X4;y,z;3-6
VSHUFPS/D;v,v,v,i;4-7
VSHUFF32X4;z,z,z,i;4-7
VSHUFF64X2;z,z,z,i;4-7
VPERMILPS/PD;v,v/m,i;3-6
VPERMILPS/PD;v,v,v/m;3-6
VPERM2F128;y,y,y/m,i;4-7
VPERMPS/PD;v,v,v/m;3-6
VPERMI2PS/PD;z,z,z/m;4-7
VCOMPRESSPS/D;z{k},z;3-6
VEXPANDPS/D;z{k},z;3-6
