XCHG;r,m;high b)
DIV IDIV;r16;18-26
DIV IDIV;r32;18-42
DIV;r64;29-61
IDIV;r64;39-72
DIV IDIV;m16;18-26
DIV IDIV;m32;18-42
DIV;m64;29-61
IDIV;m64;39-72
REP LODS;;1+5n - 21+3n
REP STOS;;7+2n - 0.55n
REP MOVS;;1+3n - 0.63n
REP(N)E SCAS;;3+8n - 23+6n
REP(N)E CMPS;;2+7n - 22+5n
FDIV(R)(P);r;6-38 d)
FPREM FPREM1;;16-56
FRNDINT;;22-29
FSQRT;;6-69
FSIN FCOS;;~96
FSINCOS;;~115
F2XM1;;~45
FYL2X FYL2XP1;;~96
FPTAN;;~136
FPATAN;;~119
MOVDQU;m128, xmm;3-8
MOVDQU;xmm, m128;2-8
LDDQU g);xmm, m128;2-8
MOVUPS/D;xmm,m128;2-4
MOVUPS/D;m128,xmm;3-4
DIVSS;xmm,xmm;6-18 d)
DIVSD;xmm,xmm;6-32 d)
DIVPS;xmm,xmm;6-18 d)
DIVPD;xmm,xmm;6-32 d)
SQRTSS/PS;xmm,xmm;6-29
SQRTSD/PD;xmm,xmm;6-58
