XCHG;r,m;high b)
IN;;>300
OUT;;>300
DIV IDIV;r8;15-16 c)
DIV IDIV;r16;15-24 c)
DIV IDIV;r32;15-39 c)
DIV IDIV;m8;15-16 c)
DIV IDIV;m16;15-24 c)
DIV IDIV;m32;15-39 c)
CPUID;;ca. 130
FDIV(R)(P);r;9-38 c)
FDIV(R)(P);m;9-38 c)
FIDIV(R);m;9-38 c)
FSQRT;;9 h)
UNPCKH/LPS;xmm,xmm;3-4
DIVSS;xmm,xmm;9-18 c)
DIVSD;xmm,xmm;9-32 c)
DIVSS;xmm,m32;9-18 c)
DIVSD;xmm,m64;9-32 c)
DIVPS;xmm,xmm;16-34 c)
DIVPD;xmm,xmm;16-62 c)
DIVPS;xmm,m128;16-34 c)
DIVPD;xmm,m128;16-62 c)
SQRTSS;xmm,xmm;6-30
SQRTSD;xmm,xmm;5-58
SQRTPS;xmm,xmm;8-56
SQRTPD;xmm,xmm;16-114
