XCHG;r,m;~40
LEA;r16,[m];2-3
LEA;r32,[m];2-3
ADD, SUB;m,r;7-8
ADD, SUB;m,i;7-8
INC, DEC, NEG;m;7-8
DIV;r8/m8;17-22
DIV;r16/m16;13-26
DIV;r32/m32;12-40
DIV;r64/m64;13-71
IDIV;r8/m8;17-21
IDIV;r16/m16;13-26
IDIV;r32/m32;13-40
IDIV;r64/m64;13-71
AND, OR, XOR;m,r;7-8
AND, OR, XOR;m,i;7-8
NOT;m;7-8
LOCK ADD;m,r;~40
LOCK XADD;m,r;~39
LOCK CMPXCHG;m,r8/16;~40
LOCK CMPXCHG;m,r32/64;~40
LOCK CMPXCHG8B;m64;~42
LOCK CMPXCHG16B;m128;~80
FADD(P),FSUB(R)(P);r/m;5-6
FMUL(P);r/m;5-6
FDIV(R)(P);r;9-40
FXAM;;~20
FPREM;;17-60
FPREM1;;17-60
FSQRT;;14-50
FSIN;;60-210
FCOS;;~154
FSINCOS;;86-141
FPTAN;;166-231
FPATAN;;60-352
F2XM1;;60-73
VMASKMOVPS/D;m128,x,x;~100
VMASKMOVPS/D;m256,y,y;~190
ADDSS/D SUBSS/D;x,x/m;5-6
ADDPS/D SUBPS/D;x,x/m;5-6
VADDPS/D VSUBPS/D;y,y,y/m;5-6
ADDSUBPS/D;x,x/m;5-6
VADDSUBPS/D;y,y,y/m;5-6
MULSS MULSD;x,x/m;5-6
MULPS MULPD;x,x/m;5-6
VMULPS VMULPD;y,y,y/m;5-6
DIVSS DIVPS;x,x/m;9-24
VDIVPS;y,y,y/m;9-24
DIVSD DIVPD;x,x/m;9-27
VDIVPD;y,y,y/m;9-27
VFMADD132SS/SD;x,x,x/m;5-6
VFMADD132PS/PD;x,x,x/m;5-6
VFMADD132PS/PD;y,y,y/m;5-6
VFMADDSS/SD;x,x,x,x/m;5-6
VFMADDPS/PD;x,x,x,x/m;5-6
VFMADDPS/PD;y,y,y,y/m;5-6
SQRTSS/PS;x,x/m;13-15
VSQRTPS;y,y/m;14-15
SQRTSD/PD;x,x/m;24-26
VSQRTPD;y,y/m;24-26
