XCHG;r,m;high b)
DIV IDIV;r8;9-18 c)
DIV IDIV;r16;14-22 c)
DIV IDIV;r32;14-23 c)
DIV;r64;18-57 c)
IDIV;r64;34-88 c)
DIV IDIV;m8;9-18
DIV IDIV;m16;14-22 c)
DIV IDIV;m32;14-23 c)
DIV;m64;34-88 c)
IDIV;m64;39-72 c)
REP LODS;;1+5n-21+3n
REP STOS;;7+2n-0.55n
REP MOVS;;1+3n-0.63n
REP(N)E SCAS;;3+8n-23+6n
REP(N)E CMPS;;2+7n-22+5n
FDIV(R)(P);r;6-21 d)
FDIV(R)(P);m;6-21 d)
FIDIV(R);m;6-21
FPREM;;13-40
FPREM1;;18-41
FRNDINT;;10-22
FXTRACT;;~170
FSQRT;;6-20
FSIN;;32-85
FCOS;;70-100
FSINCOS;;38-107
FYL2X  FYL2XP1;;50-100
FPTAN;;40-130
FPATAN;;55-130
MOVDQU;m128, xmm;3-8
MOVDQU;xmm, m128;2-8
LDDQU g);xmm, m128;2-8
MOVUPS/D;xmm,m128;2-4
MOVUPS/D;m128,xmm;3-4
DIVSS;xmm,xmm;6-13 d)
DIVSD;xmm,xmm;6-21 d)
DIVPS;xmm,xmm;6-13 d)
DIVPD;xmm,xmm;6-21 d)
SQRTSS/PS;xmm,xmm;6-13
SQRTSD/PD;xmm,xmm;6-20
