MOV;r32/64,r32/64;0-1
MOVNTI;m,r;~400
LEA;r16,m;2-4
DIV;r8;22-25
DIV;r16;23-26
DIV;r32;22-29
DIV;r64;32-95
IDIV;r8;23-26
IDIV;r16;23-26
IDIV;r32;22-29
IDIV;r64;39-103
ENTER;a,b;~87+2b
FDIV(R)(P);r;10-15
FPREM;;20-24
FPREM1;;23-48
FSQRT;;10-23
FSIN;;48-106
FCOS;;49-112
FSINCOS;;52-124
F2XM1;;63-68
FPATAN;;97-147
MOVDQA/U;x,x;0-1
VMOVDQA/U;y,y;0-1
MOVNTQ;m64,mm;~400
MOVNTDQ;m128,x;~400
VMOVNTDQ;m256,y;~400
MASKMOVQ;mm,mm;18-500
MASKMOVDQU;x,x;18-500
MOVAPS/D;x,x;0-1
VMOVAPS/D;y,y;0-1
MOVNTPS/D;m128,x;~400
VMOVNTPS/D;m256,y;~400
VCVTPS2PH;x,v,i;4-6
VCVTPH2PS;v,x;4-6
DIVSD;x,x;10-14
DIVPD;x,x;10-14
VDIVPD;y,y,y;19-23
SQRTSD;x,x;15-16
SQRTPD;x,x;15-16
VSQRTPD;y,y;27-29
