XCHG;r,m;~50
LEA;r16,[m];2-3
LEA;r32,[m];2-3
ADD, SUB;m,r;7-8
ADD, SUB;m,i;7-8
INC, DEC, NEG;m;7-8
DIV;r16/m16;15-27
DIV;r32/m32;16-43
DIV;r64/m64;16-75
IDIV;r16/m16;23-33
IDIV;r32/m32;22-48
IDIV;r64/m64;22-79
AND, OR, XOR;m,r;7-8
AND, OR, XOR;m,i;7-8
LOCK ADD;m,r;~55
LOCK XADD;m,r;~51
LOCK CMPXCHG;m8,r8;~51
LOCK CMPXCHG;m,r16/r32/r64;~52
LOCK CMPXCHG8B;m64;~53
LOCK CMPXCHG16B;m128;~94
FNSTSW;AX;~13
FNSTSW;m16;~13
FADD(P), FSUB(R)(P);r/m;5-6
FMUL(P);r/m;5-6
FDIV(R)(P);r;10-42
FXAM;;~20
FPREM;;19-62
FPREM1;;19-65
FSQRT;;10-53
FSIN;;65-210
FCOS;;~160
FSINCOS;;95-160
FPTAN;;95-245
FPATAN;;60-440
F2XM1;;64-71
ADDSS/D SUBSS/D;x,x/m;5-6
ADDPS/D SUBPS/D;x,x/m;5-6
VADDPS/D VSUBPS/D;y,y,y/m;5-6
ADDSUBPS/D;x,x/m;5-6
VADDSUBPS/D;y,y,y/m;5-6
MULSS MULSD;x,x/m;5-6
MULPS MULPD;x,x/m;5-6
VMULPS VMULPD;y,y,y/m;5-6
DIVSS DIVPS;x,x/m;9-24
VDIVPS;y,y,y/m;9-24
DIVSD DIVPD;x,x/m;9-27
VDIVPD;y,y,y/m;9-27
VFMADDSS/SD;x,x,x,x/m;5-6
VFMADDPS/PD;x,x,x,x/m;5-6
VFMADDPS/PD;y,y,y,y/m;5-6
SQRTSS/PS;x,x/m;14-15
VSQRTPS;y,y/m;14-15
SQRTSD/PD;x,x/m;24-26
VSQRTPD;y,y/m;24-26
