MOV;r32/64,r32/64;0-1
MOVNTI;m,r;~340
MOVZX;r32/64,r8;0-1
LEA;r16,m;2-4
ADC SBB;m,r/i;7-8
DIV;r8;19-22
DIV;r16;20-24
DIV;r32;19-27
DIV;r64;29-94
IDIV;r8;20-23
IDIV;r16;20-24
IDIV;r32;19-26
IDIV;r64;28-103
REP LODS;;~2n
REP STOS;;n
REP STOS;;1/16B
REP MOVS;;n
REP MOVS;;1/16B
REP SCAS;;~2n
REP CMPS;;~2n
ENTER;a,b;84+3b
CPUID;;100-340
FDIV(R)(P);r;10-24
FPREM;;21-26
FPREM1;;27-50
FSQRT;;10-23
FSIN;;47-106
FCOS;;48-115
FSINCOS;;50-123
F2XM1;;~68
FYL2X ;;90-106
FPATAN;;94-150
MOVDQA MOVDQU;x,x;0-1
MOVNTQ;m64,mm;~360
MOVNTDQ;m128,x;~360
MOVAPS/D;x,x;0-1
VMOVAPS/D;y,y;0-1
MOVNTPS/D;m128,x;~380
VMOVNTPS/D;m256,y;~380
DIVSS DIVPS;x,x;10-13
VDIVPS;y,y,y;19-21
DIVSD DIVPD;x,x;10-20
VDIVPD;y,y,y;20-35
XSAVEOPT;m;60-500
