MOVNTI;m,r;~270
DIV;r8;11-21
DIV;r16;17-22
DIV;r32;17-28
DIV;r64;28-90
IDIV;r8;10-22
IDIV;r16;18-23
IDIV;r32;17-28
IDIV;r64;37-100
RCR RCL;r16/r32/r64,i/cl;12-13
REP LODS;;40+12n
REP STOS;small n;12+n
REP STOS;large n;1 clk / 16 bytes
REP MOVS;small n;12+n
REP MOVS;large n;1 clk / 16 bytes
REP SCAS;;40+2n
REP CMPS;;42+2n
ENTER;a,b;79+5b
CPUID;;~200
FDIV(R)(P);r;7-27
FDIV(R)(P);m;7-27
FIDIV(R);m;7-27
FSQRT;;~27
FSIN;;40-100
FCOS;;40-100
FSINCOS;;~110
FYL2X FYL2XP1;;~80
FPTAN;;~115
FPATAN;;~120
MOVNTQ;m64,mm;~270
MOVNTDQ;m128,xmm;~270
AESDEC, AESDECLAST, AESENC, AESENCLAST;xmm,xmm;~5
AESIMC;xmm,xmm;~5
AESKEYGENASSIST;xmm,xmm,i;~5
MOVNTPS/D;m128,xmm;~270
DIVSS DIVPS;xmm,xmm;7-14
DIVSD DIVPD;xmm,xmm;7-22
SQRTSS/PS;xmm,xmm;7-18
SQRTSD/PD;xmm,xmm;7-32
