MOV;r32/64,r32/64;0-1
MOVNTI;m,r;~400
LEA;r16,m;2-4
INC DEC NOT;m;5-6
NEG;m;5-6
DIV;r64;35-88
IDIV;r64;42-95
ENTER;a,b;~87+2b
FDIV(R)(P);r;14-16
FPREM;;26-30
FPREM1;;30-57
FSQRT;;14-21
FSIN;;50-120
FCOS;;50-130
FSINCOS;;55-150
F2XM1;;65-80
FPTAN;;140-160
FPATAN;;100-160
MOVDQA/U;x,x;0-1
VMOVDQA/U;y,y;0-1
MOVNTQ;m64,mm;~418
MOVNTDQ;m128,x;~450
VMOVNTDQ;m256,y;~400
MASKMOVQ;mm,mm;~450
MASKMOVDQU;x,x;18-500
PMOVMSKB;r,v;2-3
MOVAPS/D;x,x;0-1
VMOVAPS/D;y,y;0-1
MOVNTPS/D;m128,x;~400
VMOVNTPS/D;m256,y;~400
VCVTPS2PH;x,v,i;5-7
VCVTPH2PS;v,x;5-7
DIVSD;x,x;13-14
DIVPD;x,x;13-14
VDIVPD;y,y,y;13-14
SQRTSD;x,x;15-16
SQRTPD;x,x;15-16
VSQRTPD;y,y;15-16
