MOVNTI;m,r;high
XCHG;r,m;~30
DIV;r8/m8;13-16
DIV;r16/m16;14-21
DIV;r32/m32;14-30
DIV;r64/m64;14-46
IDIV;r8/m8;13-16
IDIV;r16/m16;13-21
IDIV;r32/m32;14-30
IDIV;r64/m64;14-47
LOCK ADD;m,r;~17
LOCK XADD;m,r;~23
LOCK CMPXCHG;m8,r8;~22
LOCK CMPXCHG;m16,r16;~22
LOCK CMPXCHG;m,r32/r64;~22
LOCK CMPXCHG8B;m64;~22
LOCK CMPXCHG16B;m128;~21
FDIV(R)(P);r;8-15
FSQRT;;8-21
FSIN;;50-170
FCOS;;50-115
FSINCOS;;60-120
FPTAN;;~90
FPATAN;;50-160
F2XM1;;~50
FYL2X;;~50
FYL2XP1;;~135
MOVNTQ;m,mm;~900
MOVNTDQ;m,xmm;~900
MASKMOVQ;mm,mm;~3000
MASKMOVDQU;x,x;~3000
MOVNTPS/D;m128,x;~950
VMOVNTPS/D;m256,y;~950
VMASKMOVPS/D;m128,x,x;~50
VMASKMOVPS/D;m256,y,y;~50
DIVSD DIVPD;x,x/m;8-13
VDIVPD;y,y,y/m;8-13
SQRTSS/PS;x,x/m;9-10
VSQRTPS;y,y/m;9-10
SQRTSD/PD;x,x/m;14-15
VSQRTPD;y,y/m;14-15
