(V)MOVSH/LDUP;v,v
(V)PSHUFD;v,v,i
ADC;m,r/i
ADD;m,i
ADD;m,r
ADDPD;xmm,xmm
ADDPS/D;r,r/m
ADDPS/D;x,x/m
ADDPS;xmm,xmm
ADDSD;xmm,xmm
ADDSS/D;r,r/m
ADDSS/D;x,x/m
ADDSS;xmm,xmm
ADDSUBPD;xmm,xmm
ADDSUBPS/D;r,r/m
ADDSUBPS/D;x,x/m
ADDSUBPS;xmm,xmm
AESDEC;x,x
AESDECLAST;x,x
AESENC;x,x
AESENCLAST;x,x
AESIMC;x,x
AESKEYGENASSIST;x,x
AND;m,i
AND;m,r
AND;m,r/i
ANDNPS/D;r,r/m
ANDPS/D;r,r/m
BSF;r , r/m
BSR;r , r/m
CALL;far
CALL;m(far)
CLI;
CMPccPS/D;r,r/m
CMPccSS/D;r,r/m
COMISS/D;r,r/m
CPUID;
CVT(T)PD2DQ;r,r/m
CVT(T)PD2PI;mm,xmm
CVT(T)PS2DQ;r,r/m
CVT(T)SD2SI;r32,xmm
CVT(T)SS2SI;r32,xmm
CVTDQ2PD;r,r/m
CVTDQ2PS;r,r/m
CVTPD2PS;r,r/m
CVTPD2PS;xmm,xmm
CVTPI2PD;xmm,mm
CVTPI2PS;xmm,mm
CVTPS2PD;r,r/m
CVTPS2PD;xmm,xmm
CVTSD2SS;r,r/m
CVTSI2SD;xmm,r32
CVTSI2SS;xmm,r32
CVTSS2SD;r,r/m
DEC;m
DEC;r
DIV;m16
DIV;m32
DIV;m64
DIV;m8
DIV;r/m 64
DIV;r/m16
DIV;r/m32
DIV;r16
DIV;r16/m16
DIV;r32
DIV;r32/m32
DIV;r64
DIV;r64/m64
DIV;r8
DIV;r8/m8
DIVPD;r,r/m
DIVPD;x,x
DIVPD;x,x/m
DIVPD;xmm,m128
DIVPD;xmm,xmm
DIVPS;r,r/m
DIVPS;x,x
DIVPS;x,x/m
DIVPS;xmm,m128
DIVPS;xmm,xmm
DIVSD;r,r/m
DIVSD;x,x
DIVSD;x,x/m
DIVSD;xmm,m64
DIVSD;xmm,xmm
DIVSS;r,r/m
DIVSS;x,x
DIVSS;x,x/m
DIVSS;xmm,m32
DIVSS;xmm,xmm
DQ;mm,r/m
EXTRACTPS;m32,x,i
F2XM1;
FABS;
FADD(P);m
FADD(P)FSUB(R)(P);r
FADD(P)FSUB(R)(P);r/m
FADDFSUB(R);m
FBLD;m80
FBSTP;m80
FCHS;
FCMOVcc;st0,r
FCOS;
FDIV(R)(P);m
FDIV(R)(P);r
FDIV(R)(P);r/m
FDIV(R);m
FIADDFISUB(R);m16
