MOV;r,r;1
MOV;r,i;1
MOV;r,m;1-3
MOV;m,r;1
MOV;m,i;
MOV;r,sr;1
MOV;m,sr;
MOV;sr,r;
MOV;sr,m;
MOVNTI;m,r;
MOVSX MOVZX MOVSXD;r,r/m;1
CMOVcc;r,r;2
CMOVcc;r,m;
XCHG;r,r;6
XCHG;r,m;6
XLAT;;6
PUSH;r;1
PUSH;i;
PUSH;m;
PUSH;sr;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;1
POP;(E/R)SP;1
POP;m;
POP;sr;
POPF(D/Q);;
POPA(D);;
LAHF;;2
SAHF;;1
SALC;;7
LEA;r,m;1-4
BSWAP;r;1
LDS LES LFS LGS LSS;m;30
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
LFENCE;;
MFENCE;;
SFENCE;;
ADD SUB;r,r/i;1
ADD SUB;r,m;
ADD SUB;m,r/i;2
ADC SBB;r,r/i;2
ADC SBB;r,m;2
ADC SBB;m,r/i;2
CMP;r,r/i;1
CMP;m,r/i;
INC DEC NEG NOT;r;1
INC DEC NEG NOT;m;1
AAA;;16
AAS;;12
DAA;;20
DAS;;25
AAD;;7
AAM;;24
MUL IMUL;r8;7
MUL IMUL;r16;6
MUL IMUL;r32;6
MUL IMUL;r64;14
IMUL;r16,r16;6
IMUL;r32,r32;5
IMUL;r64,r64;13
IMUL;r16,r16,i;5
IMUL;r32,r32,i;5
IMUL;r64,r64,i;14
MUL IMUL;m8;6
MUL IMUL;m16;7
MUL IMUL;m32;7
MUL IMUL;m64;14
DIV;r/m8;22
DIV;r/m16;33
DIV;r/m32;49
DIV;r/m 64;183
IDIV;r/m8;38
IDIV;r/m16;45
IDIV;r/m32;61
IDIV;r/m64;207
CBW;;5
CWDE;;1
CDQE;;1
CWD;;5
CDQ;;1
CQO;;1
AND OR XOR;r,r/i;1
AND OR XOR;r,m;
AND OR XOR;m,r/i;1
TEST;r,r/i;1
TEST;m,r/i;
SHR SHL SAR;r,i/cl;1
SHR SHL SAR;m,i/cl;1
ROR ROL;r,i/cl;1
ROR ROL;m,i/cl;1
RCR;r,1;7
RCL;r,1;1
RCR;r/m,i/cl;12-15
RCL;r/m,i/cl;14-18
SHLD;r16,r16,i;10
SHLD;r32,r32,i;5
SHLD;r64,r64,i;11
SHLD;r16,r16,cl;9
SHLD;r32,r32,cl;5
SHLD;r64,r64,cl;10
SHRD;r16,r16,i;8
SHRD;r32,r32,i;5
SHRD;r64,r64,i;9
SHRD;r16,r16,cl;8
SHRD;r32,r32,cl;5
SHRD;r64,r64,cl;9
BT;r,r/i;1
BT;m,r;10
BT;m,i;5
BTR BTS BTC;r,r/i;1
BTR BTS BTC;m,r;11
BTR BTS BTC;m,i;6
BSF BSR;r,r/m;16
SETcc;r;2
SETcc;m;
CLC STC;;
CMC;;2
CLD;;
STD;;
