MOV;r,r;1
MOV;r,i;
MOV;r,m;4
MOV;m,r;4
MOV;m8,r8H;7
MOV;m,i;
MOVNTI;m,r;6
MOVZX, MOVSX;r,r;1
MOVZX, MOVSX;r,m;5
MOVSXD;r64,r32;1
MOVSXD;r64,m32;5
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r,r;1
XCHG;r,m;20
XLAT;;5
PUSH;r;
PUSH;i;
PUSH;m;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;
POP;m;
POPF(D/Q);;
POPA(D);;
LEA;r16,[m];3
LEA;r32/r64,[m];1
LEA;r32/r64,[m];2-4
LEA;r64,[m];
LAHF;;4
SAHF;;1
SALC;;1
BSWAP;r;1
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
PREFETCH;m;
SFENCE;;
LFENCE;;
MFENCE;;
ADD, SUB;r,r/i;1
ADD, SUB;r,m;
ADD, SUB;m,r;
ADC, SBB;r,r/i;1
ADC, SBB;r,m;
ADC, SBB;m,r/i;6-7
CMP;r,r/i;1
CMP;r,m;
INC, DEC, NEG;r;1
INC, DEC, NEG;m;6
AAA;;5
AAS;;10
DAA;;7
DAS;;8
AAD;;5
AAM;;23
MUL, IMUL;r8/m8;3
MUL, IMUL;r16/m16;3-5
MUL, IMUL;r32/m32;3-4
MUL, IMUL;r64/m64;6-7
IMUL;r16,r16/m16;3
IMUL;r32,r32/m32;3
IMUL;r64,r64/m64;6
IMUL;r16,(r16),i;4
IMUL;r32,(r32),i;3
IMUL;r64,(r64),i;7
DIV;r8/m8;27
DIV;r16/m16;33
DIV;r32/m32;49
DIV;r64/m64;81
IDIV;r8/m8;29
IDIV;r16/m16;37
IDIV;r32/m32;55
IDIV;r64/m64;81
CBW, CWDE, CDQE;;1
CWD, CDQ, CQO;;1
AND, OR, XOR;r,r;1
AND, OR, XOR;r,m;
AND, OR, XOR;m,r;
TEST;r,r;1
TEST;r,m;
NOT;r;1
NOT;m;
SHL, SHR, SAR;r,i/CL;1
ROL, ROR;r,i/CL;1
RCL, RCR;r,1;1
RCL;r,i;5
RCR;r,i;4
RCL;r,CL;6
RCR;r,CL;5
SHL, SHR, SAR, ROL, ROR;m,i/CL;7
RCL, RCR;m,1;7
RCL;m,i;
RCR;m,i;18
RCL;m,CL;
RCR;m,CL;
SHLD, SHRD;r,r,i;3
SHLD, SHRD;r,r,cl;4
SHLD, SHRD;m,r,i/CL;18
BT;r,r/i;
BT;m,i;
BT;m,r;
BTC, BTR, BTS;r,r/i;2
BTC;m,i;
BTR, BTS;m,i;
BTC;m,r;16
BTR, BTS;m,r;15
BSF, BSR;r,r;6
BSF, BSR;r,m;
POPCNT;r,r/m;12
LZCNT;r,r/m;5
SETcc;r;1
SETcc;m;
CLC, STC;;
CMC;;1
CLD;;
STD;;
JMP;short/near;
JMP;r;
JMP;m(near);
Jcc;short/near;
J(E/R)CXZ;short;
LOOP;short;
CALL;near;
CALL;r;
CALL;m(near);
RET;;
RET;i;
BOUND;m;
INTO;;
LODS;;
REP LODS;;
STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
SCAS;;
REP SCAS;;
CMPS;;
REP CMPS;;
NOP (90);;0
Long NOP (0F 1F);;0
PAUSE;;
ENTER;;12
ENTER;;10+6b
LEAVE;;
CPUID;;70-830
RDTSC;;
RDPMC;;
FLD;r;2
FLD;m32/m64;6
FLD;m80;14
FBLD;m80;30
FST(P);r;2
FST(P);m32/m64;6
FSTP;m80;19
FBSTP;m80;177
FXCH;r;0
FILD;m;9
FIST(T)(P);m;6
FLDZ, FLD1;;
FCMOVcc;st0,r;7
FFREE;r;
FINCSTP, FDECSTP;;1
FNSTSW;AX;~20
FNSTSW;m16;~20
FNSTCW;m16;
FLDCW;m16;
FADD(P), FSUB(R)(P);r;3
FADD(P), FSUB(R)(P);m;3
FIADD, FISUB(R);m;
FMUL(P);r;5
FMUL(P);m;5
FIMUL;m;
FDIV(R)(P);r;19
FDIV(R)(P);m;
FIDIV(R);m;
FABS, FCHS;;2
FCOM(P), FUCOM(P);r;
FCOM(P), FUCOM(P);m;
FCOMPP, FUCOMPP;;
FCOMI(P);r;2
FICOM(P);m;
FTST;;
FXAM;;
FRNDINT;;11
FPREM;;11-16
FPREM1;;11-19
FSQRT;;31
FLDPI, etc.;;
FSIN;;27-105
FCOS;;51-94
FSINCOS;;48-110
FPTAN;;~113
FPATAN;;49-163
FSCALE;;8
FXTRACT;;9
F2XM1;;~60
FYL2X;;29
FYL2XP1;;44
FNOP;;0
(F)WAIT;;0
FNCLEX;;
FNINIT;;
FNSAVE;m;
FRSTOR;m;
FXSAVE;m;
FXRSTOR;m;
MOVD;r32,mm;7
