MOV;r,r;1
MOV;r,i;1
MOV;r,m;3
MOV;m,r;2
MOV;m,i;
MOVNTI;m,r;2
MOVSX MOVZX;r16,r8;
MOVSX MOVZX;r16,m8;
MOVSX MOVZX MOVSXD;r32/r64,r;1
MOVSX MOVSXD;r32/r64,m;3
MOVZX;r32/r64,m;2
CMOVcc;r,r;2
CMOVcc;r,m;
XCHG;r,r;4
XCHG;r,m;13
XLAT;;5
PUSH;r;
PUSH;i;
PUSH;m;
PUSH;sp;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;
POP;m;
POP;sp;
POPF(D/Q);;
POPA(D);;
LAHF;;1
SAHF;;2
SALC;;4
LEA;r16,[m];5
LEA;r,[r+d];1
LEA;r,[r+r*1];1
LEA;r32,[r+r*s];2
LEA;r64,[r+r*s];1
LEA;r,[r+r*s+d];2
LEA;r,[rip+d];
BSWAP;r;1
MOVBE;r,m;
MOVBE;m,r;
PREFETCHNTA ;m;
PREFETCHT0/1/2 ;m;
PREFETCHNTW;m;
LFENCE;;
MFENCE;;
SFENCE;;
CLFLUSH;m;
CLFLUSHOPT;m;
ADD SUB;r,r/i;1
ADD SUB;r,m;
ADD SUB;m,r/i;5
ADC SBB;r,r/i;2
ADC SBB;r,m;
ADC SBB;m,r/i;6
CMP ;r,r/i;1
CMP ;m,r/i;
INC DEC;r;1
NEG NOT;r;1
INC DEC NEG NOT;m;5
AAA;;10
AAS;;10
DAA;;13
DAS;;14
AAD;;5
AAM;;14
MUL IMUL;r8;4
MUL IMUL;r16;5
MUL IMUL;r32;4
MUL IMUL;r64;6
IMUL;r16,r16;4
IMUL;r32,r32;3
IMUL;r64,r64;5
IMUL;r16,r16,i;4
IMUL;r32,r32,i;3
IMUL;r64,r64,i;5
MUL IMUL;m8;
MUL IMUL;m16;
MUL IMUL;m32;
MUL IMUL;m64;
DIV ;r8;13-14
DIV ;r16;14-19
DIV ;r32;14-27
DIV;r64;14-43
IDIV;r8;13-14
IDIV;r16;14-19
IDIV;r32;14-27
IDIV;r64;14-43
CBW;;4
CWDE;;1
CDQE;;1
CWD;;4
CDQ;;1
CQO;;1
POPCNT;r16,r16;4
POPCNT;r32,r32;3
POPCNT;r64,r64;3
CRC32;r32,r8;3
CRC32;r32,r16;3
CRC32;r32,r32;3
AND OR XOR;r,r/i;1
AND OR XOR;r,m;
AND OR XOR;m,r/i;5
TEST;r,r/i;1
TEST;m,r/i;
SHR SHL SAR;r,i/cl;1
SHR SHL SAR;m,i/cl;
ROR ROL;r,i/cl;1
ROR ROL;m,i/cl;
RCL;r,1;2
RCL;r,i;14
RCL;r,cl;16
RCR;r,1;11
RCR;r,i;12
RCR;r,cl;14
SHLD;r16,r16,i;15
SHLD;r32,r32,i;2
SHLD;r64,r64,i;11
SHLD;r16,r16,cl;16
SHLD;r32,r32,cl;4
