MOV;r,r;1
MOV;r,i;
MOV;r8/r16,m;4
MOV;m,r8/r16;4
MOV;r32/r64,m;3
MOV;m,r32/r64;0
MOV;m,i;
MOVNTI;m,r;6
MOVZX, MOVSX;r,r;1
MOVZX, MOVSX;r,m;4
MOVSXD;r64,r32;1
MOVSXD;r64,m32;3
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r8,r8;2
XCHG;r,r;1
XCHG;r,m;16
XLAT;;5
PUSH;r;
PUSH;i;
PUSH;m;
PUSH;SP;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;
POP;m;
POP;SP;
POPF(D/Q);;
POPA(D);;
LEA;r16,[m];3
LEA;r32/r64,[m];1
LEA;r32/r64,[m];2
LEA;r64,[m];
LAHF;;3
SAHF;;1
SALC;;1
BSWAP;r;1
MOVBE;r,m;
MOVBE;m,r;
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
PREFETCHW;m;
LFENCE;;
MFENCE;;
SFENCE;;
ADD, SUB;r,r/i;1
ADD, SUB;r,m;
ADD, SUB;m,r;6
ADC, SBB;r,r/i;1
ADC, SBB;r,m;
ADC, SBB;m,r/i;8
CMP;r,r/i;1
CMP;r,m;
INC, DEC, NEG;r;1
INC, DEC, NEG;m;6
AAA;;5
AAS;;8
DAA;;6
DAS;;8
AAD;;5
AAM;;14
MUL, IMUL;r8/m8;3
MUL, IMUL;r16/m16;3
MUL, IMUL;r32/m32;3
MUL, IMUL;r64/m64;6
IMUL;r16,r16/m16;3
IMUL;r32,r32/m32;3
IMUL;r64,r64/m64;6
IMUL;r16,(r16),i;4
IMUL;r32,(r32),i;3
IMUL;r64,(r64),i;6
DIV;r8/m8;11-14
DIV;r16/m16;12-19
DIV;r32/m32;12-27
DIV;r64/m64;12-43
IDIV;r8/m8;11-14
IDIV;r16/m16;12-19
IDIV;r32/m32;12-27
IDIV;r64/m64;12-43
CBW, CWDE, CDQE;;1
CWD, CDQ, CQO;;1
AND, OR, XOR;r,i;1
AND, OR, XOR;r,r;1
AND, OR, XOR;r,m;
AND, OR, XOR;m,r;6
ANDN;r,r,r;1
ANDN;r,r,m;
TEST;r,i;1
TEST;r,r;1
TEST;r,m;
NOT;r;1
NOT;m;6
SHL, SHR, SAR;r,i/CL;1
ROL, ROR;r,i/CL;1
RCL, RCR;r,1;1
RCL;r,i;5
RCR;r,i;4
RCL;r,CL;5
RCR;r,CL;4
SHL,SHR,SAR,ROL, ROR;m,i/CL;6
RCL, RCR;m,1;
RCL;m,i;
RCR;m,i;
RCL;m,CL;
RCR;m,CL;
SHLD, SHRD;r,r,i;3
SHLD, SHRD;r,r,cl;4
SHLD, SHRD;m,r,i/CL;
BT;r,r/i;
BT;m,i;
BT;m,r;
BTC, BTR, BTS;r,r/i;2
BTC;m,i;
BTR, BTS;m,i;
BTC, BTR, BTS;m,r;
BSF;r,r;4
BSR;r,r;4
BSF, BSR;r,m;
POPCNT;r,r/m;1
LZCNT;r,r;1
TZCNT;r,r;2
BLSI BLSR;r,r;2
BLSI BLSR;r,m;
BLSMSK;r,r;2
BLSMSK;r,m;
BEXTR;r,r,r;1
BEXTR;r,m,r;
SETcc;r;1
SETcc;m;
CLC, STC;;
CMC;;1
CLD;;
STD;;
JMP;short/near;
JMP;r;
JMP;m(near);
Jcc;short/near;
J(E/R)CXZ;short;
LOOP;short;
LOOPE LOOPNE;short;
CALL;near;
CALL;r;
CALL;m(near);
RET;;
RET;i;
BOUND;m;
INTO;;
LODS;;
REP LODS;;
STOS;;
REP STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
REP MOVS;;
SCAS;;
REP SCAS;;
CMPS;;
REP CMPS;;
LOCK ADD;m,r;19
XADD;m,r;11
LOCK XADD;m,r;16
CMPXCHG;m,r8;11
LOCK CMPXCHG;m,r8;16
CMPXCHG;m,r16/r32/r64;11
LOCK CMPXCHG;m,r16/r32/r64;17
CMPXCHG8B;m64;11
LOCK CMPXCHG8B;m64;19
CMPXCHG16B;m128;32
LOCK CMPXCHG16B;m128;38
NOP (90);;
Long NOP (0F 1F);;
PAUSE;;
ENTER;;12
ENTER;;10+6b
LEAVE;;
CPUID;;70-230
XGETBV;;
RDTSC;;
RDTSCP;;
RDPMC;;
CRC32;r,r;3
CRC32;r,m;
FLD;r;2
FLD;m32/m64;4
FLD;m80;9
FBLD;m80;24
FST(P);r;2
FST(P);m32/m64;3
FSTP;m80;9
FBSTP;m80;167
FXCH;r;0
FILD;m;8
FIST(T)(P);m;4
FLDZ, FLD1;;
FCMOVcc;st0,r;7
FFREE;r;
FINCSTP, FDECSTP;;1
FNSTSW;AX;
FNSTSW;m16;
FNSTCW;m16;
FLDCW;m16;
