MOV;r,r;1
MOV;r,i;1
MOV;r8,m8;4
MOV;r16,m16;4
MOV;r32,m32;3
MOV;m8,r8H;8
MOV;m8,r8L;2
MOV;m16/m32,r;2
MOV;m,i;2
MOV;r,sr;2
MOV;sr,r/m;9-13
MOVZX, MOVSX;r,r;1
MOVZX, MOVSX;r,m;4
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r,r;2
XCHG;r,m;16
XLAT;;5
PUSH;r;
PUSH;i;
PUSH;m;
PUSH;sr;
PUSHF(D);;
PUSHA(D);;
POP;r;
POP;m;
POP;DS/ES/FS/GS;
POP;SS;
POPF(D);;
POPA(D);;
LEA;r16,[m];3
LEA;r32,[m];2
LAHF;;3
SAHF;;2
SALC;;1
LDS, LES, ...;r,m;
BSWAP;r;1
ADD, SUB;r,r/i;1
ADD, SUB;r,m;1
ADD, SUB;m,r;7
ADC, SBB;r,r/i;1
ADC, SBB;r,m;1
ADC, SBB;m,r/i;7
CMP;r,r/i;1
CMP;r,m;
INC, DEC, NEG;r;1
INC, DEC, NEG;m;7
AAA, AAS;;5
DAA;;6
DAS;;7
AAD;;5
AAM;;13
MUL, IMUL;r8/m8;3
MUL, IMUL;r16/m16;3
MUL, IMUL;r32/m32;4
IMUL;r16,r16/m16;3
IMUL;r32,r32/m32;4
IMUL;r16,(r16),i;4
IMUL;r32,(r32),i;5
IMUL;r16,m16,i;
IMUL;r32,m32,i;
DIV;r8/m8;24
DIV;r16/m16;24
DIV;r32/m32;40
IDIV;r8;17
IDIV;r16;25
IDIV;r32;41
IDIV;m8;17
IDIV;m16;25
IDIV;m32;41
CBW, CWDE;;1
CWD, CDQ;;1
AND, OR, XOR;r,r;1
AND, OR, XOR;r,m;1
AND, OR, XOR;m,r;7
TEST;r,r;1
TEST;r,m;1
NOT;r;1
NOT;m;7
SHL, SHR, SAR;r,i/CL;1
ROL, ROR;r,i/CL;1
RCL, RCR;r,1;1
RCL;r,i;4
RCR;r,i;3
RCL;r,CL;3
RCR;r,CL;3
SHL,SHR,SAR,ROL,ROR;m,i/CL;7
RCL, RCR;m,1;7
RCL;m,i;5
RCR;m,i;8
RCL;m,CL;6
RCR;m,CL;7
SHLD, SHRD;r,r,i;4
SHLD, SHRD;r,r,cl;4
SHLD, SHRD;m,r,i/CL;7
BT;r,r/i;1
BT;m,i;
BT;m,r;
BTC, BTR, BTS;r,r/i;2
BTC;m,i;7
BTR, BTS;m,i;7
BTC, BTR, BTS;m,r;6
BSF;r,r;7
BSR;r,r;9
BSF;r,m;8
BSR;r,m;10
SETcc;r;1
SETcc;m;
CLC, STC;;
CMC;;1
CLD;;
STD;;
JMP;short/near;
JMP;far;23-32
JMP;r;
JMP;m(near);
JMP;m(far);25-33
Jcc;short/near;
J(E)CXZ;short;
LOOP;short;3-4
CALL;near;2
CALL;far;23-32
