MOV;r,r;1
MOV;r,i;1
MOV;r,m;2
MOV;m,r;2
MOV;m,i;
MOV;r,sr;
MOV;m,sr;
MOV;sr,r;20
MOV;sr,m;20
MOVNTI;m,r;2
MOVSX MOVSXD MOVZX;r,r;1
MOVSX MOVSXD;r,m;3
MOVZX;r,m;2
CMOVcc;r,r;2
CMOVcc;r,m;5
XCHG;r,r;3
XCHG;r,m;20
XLAT;m;6
PUSH;r;
PUSH;i;
PUSH;m;
PUSH;sr;
PUSHF(D/Q);;8
PUSHA(D);;
POP;r;
POP;(E/R)SP;
POP;m;
POP;sr;
POPF(D/Q);;9
POPA(D);;
LAHF;;1
SAHF;;1
SALC;;9
LEA;r,m;1
BSWAP;r;1
LDS LES LFS LGS LSS;m;30
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
LFENCE;;
MFENCE;;
SFENCE;;
ADD SUB;r,r/i;1
ADD SUB;r,m;
ADD SUB;m,r/i;5
ADC SBB;r,r/i;1
ADC SBB;r,m;
ADC SBB;m,r/i;5
CMP;r,r/i;1
CMP;m,r/i;
INC DEC NEG NOT;r;1
INC DEC NEG NOT;m;5
AAA;;
AAS;;
DAA;;
DAS;;
AAD;;
AAM;;
MUL IMUL;r8;7-9
MUL IMUL;r16;7-9
MUL IMUL;r32;7-9
MUL IMUL;r64;8-10
IMUL;r16,r16;4-6
IMUL;r32,r32;4-6
IMUL;r64,r64;5-7
IMUL;r16,r16,i;4-6
IMUL;r32,r32,i;4-6
IMUL;r64,r64,i;5-7
DIV;r8;26
DIV;r16;27-35
DIV;r32;25-41
DIV;r64;148-183
IDIV;r8;26
IDIV;r16;27-35
IDIV;r32;23-39
IDIV;r64;187-222
CBW CWDE CDQE;;1
CWD CDQ CQO;;1
AND OR XOR;r,r/i;1
AND OR XOR;r,m;
AND OR XOR;m,r/i;5
TEST;r,r/i;1
TEST;m,r/i;
SHR SHL SAR;r,i/cl;1
ROR ROL;r,i/cl;1
RCR RCL;r,1;1
RCR RCL;r,i/cl;28+3n
SHLD SHRD;r16,r16,i;11
SHLD SHRD;r32,r32,i;7
SHLD;r64,r64,i;33
SHRD;r64,r64,i;43
SHLD SHRD;r16,r16,cl;11
SHLD SHRD;r32,r32,cl;7
SHLD;r64,r64,cl;33
SHRD;r64,r64,cl;43
BT;r,r/i;1
BT;m,r;
BT;m,i;
BTR BTS BTC;r,r/i;2
BTR BTS BTC;m,r;10
BTR BTS BTC;m,i;8
BSF BSR;r,r;3
SETcc;r;2
SETcc;m;
CLC STC CMC;;3
CLD STD;;3
JMP;short/near;3
JMP;far;58
JMP;r;3
JMP;m(near);3
JMP;m(far);55
Conditional jump;short/near;1-3-8
J(E/R)CXZ;short;1-3-8
LOOP;short;1-3-8
LOOP(N)E;short;25
CALL;near;3
CALL;far;72
CALL;r;3
CALL;m(near);4
