MOV;r,r/i;
MOV;r,m;
MOV;m,r/i;
MOV;r,sr;
MOV;m,sr;
MOV;sr,r;5
MOV;sr,m;8
MOVSX MOVZX;r,r;
MOVSX MOVZX;r,m;
CMOVcc;r,r;
CMOVcc;r,m;
XCHG;r,r;
XCHG;r,m;high
XLAT;;
PUSH;r/i;
POP;r;
POP;(E)SP;
PUSH;m;
POP;m;
PUSH;sr;
POP;sr;
PUSHF(D);;
POPF(D);;
PUSHA(D);;
POPA(D);;
LAHF SAHF;;
LEA;r,m;1
LDS LES LFS LGS;;
LSS;m;
ADD SUB AND OR XOR;r,r/i;
ADD SUB AND OR XOR;r,m;
ADD SUB AND OR XOR;m,r/i;
ADC SBB;r,r/i;
ADC SBB;r,m;
ADC SBB;m,r/i;
CMP TEST;r,r/i;
CMP TEST;m,r/i;
INC DEC NEG NOT;r;
INC DEC NEG NOT;m;
AAA AAS DAA DAS;;
AAD;;4
AAM;;15
IMUL;r,(r),(i);4
IMUL;(r),m;4
DIV IDIV;r8;19
DIV IDIV;r16;23
DIV IDIV;r32;39
DIV IDIV;m8;19
DIV IDIV;m16;23
DIV IDIV;m32;39
CBW CWDE;;
CWD CDQ;;
SHR SHL SAR ROR;;
ROL;r,i/CL;
SHR SHL SAR ROR;;
ROL;m,i/CL;
RCR RCL;r,1;
RCR RCL;r8,i/CL;
RCR RCL;r16/32,i/CL;
RCR RCL;m,1;
RCR RCL;m8,i/CL;
RCR RCL;m16/32,i/CL;
SHLD SHRD;r,r,i/CL;
SHLD SHRD;m,r,i/CL;
BT;r,r/i;
BT;m,r/i;
BTR BTS BTC;r,r/i;
BTR BTS BTC;m,r/i;
BSF BSR;r,r;
BSF BSR;r,m;
SETcc;r;
SETcc;m;
JMP;short/near;
JMP;far;
JMP;r;
JMP;m(near);
JMP;m(far);
conditional jump;short/near;
CALL;near;
CALL;far;
CALL;r;
CALL;m(near);
CALL;m(far);
RETN;;
RETN;i;
RETF;;
RETF;i;
J(E)CXZ;short;
LOOP;short;
LOOP(N)E;short;
ENTER;i,0;
ENTER;a,b;
LEAVE;;
BOUND;r,m;
CLC STC CMC;;
CLD STD;;
CLI;;
STI;;
INTO;;
LODS;;
REP LODS;;
STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
SCAS;;
REP(N)E SCAS;;
CMPS;;
REP(N)E CMPS;;
BSWAP;r;
NOP (90);;
Long NOP (0F 1F);;
CPUID;;
RDTSC;;
IN;;>300
OUT;;>300
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
SFENCE;;
FLD;r;
FLD;m32/64;1
FLD;m80;
FBLD;m80;
FST(P);r;
FST(P);m32/m64;1
FSTP;m80;
FBSTP;m80;
FXCH;r;0
FILD;m;5
FIST(P);m;5
FLDZ;;
FLD1 FLDPI FLDL2E etc.;;
FCMOVcc;r;2
FNSTSW;AX;7
FNSTSW;m16;
FLDCW;m16;10
FNSTCW;m16;
FADD(P) FSUB(R)(P);r;3
FADD(P) FSUB(R)(P);m;3-4
FMUL(P);r;5
FMUL(P);m;5-6
FDIV(R)(P);r;38
FDIV(R)(P);m;38
FABS;;
FCHS;;2
FCOM(P) FUCOM;r;1
FCOM(P) FUCOM;m;1
FCOMPP FUCOMPP;;1
FCOMI(P) FUCOMI(P);r;1
FCOMI(P) FUCOMI(P);m;1
FIADD FISUB(R);m;
FIMUL;m;
