MOV;r,r/i;
MOV;r,m;
MOV;m,r;
MOV;m,i;
MOV;r,sr;
MOV;m,sr;
MOV;sr,r;5
MOV;sr,m;8
MOVNTI;m,r32;
MOVSX MOVZX;r,r;1
MOVSX MOVZX;r,m;
CMOVcc;r,r;2
CMOVcc;r,m;
XCHG;r,r;2
XCHG;r,m;high b)
XLAT;;
PUSH;r;1
PUSH;i;1
PUSH;m;2
PUSH;sr;
PUSHF(D);;
PUSHA(D);;8
POP;r;
POP;(E)SP;
POP;m;2
POP;sr;
POPF(D);;
POPA(D);;7
LAHF SAHF;;1
SALC;;
LEA;r,m;1
BSWAP;r;
LDS LES LFS LGS LSS;m;
PREFETCHNTA ;m;
PREFETCHT0/1/2 ;m;
SFENCE/LFENCE/MFENCE;;
IN;;>300
OUT;;>300
ADD SUB;r,r/i;1
ADD SUB;r,m;2
ADD SUB;m,r/i;
ADC SBB;r,r/i;2
ADC SBB;r,m;
ADC SBB;m,r/i;
CMP ;r,r/i;1
CMP ;m,r;1
CMP ;m,i;
INC DEC NEG NOT;r;1
INC DEC NEG NOT;m;
AAA AAS DAA DAS;;
AAD;;2
AAM;;15
MUL IMUL;r8;4
MUL IMUL;r16/r32;5
IMUL;r,r;4
IMUL;r,r,i;4
MUL IMUL;m8;4
MUL IMUL;m16/m32;5
IMUL;r,m;4
IMUL;r,m,i;4
DIV IDIV;r8;15-16 c)
DIV IDIV;r16;15-24 c)
DIV IDIV;r32;15-39 c)
DIV IDIV;m8;15-16 c)
DIV IDIV;m16;15-24 c)
DIV IDIV;m32;15-39 c)
CBW CWDE;;1
CWD CDQ;;1
AND OR XOR;r,r/i;1
AND OR XOR;r,m;2
AND OR XOR;m,r/i;
TEST;r,r/i;1
TEST;m,r;1
TEST;m,i;
SHR SHL SAR ROR ROL;r,i/CL;1
SHR SHL SAR ROR ROL;m,i/CL;
RCR RCL;r,1;2
RCR;r8,i/CL;11
RCL;r8,i/CL;10
RCR RCL;r16/32,i/CL;9
RCR RCL;m,1;
RCR ;m8,i/CL;
RCL;m8,i/CL;
RCR RCL;m16/32,i/CL;
SHLD SHRD;r,r,i/CL;2
SHLD SHRD;m,r,i/CL;
BT;r,r/i;1
BT;m,r;
BT;m,i;
BTR BTS BTC;r,r/i;
BTR BTS BTC;m,r;6
BTR BTS BTC;m,i;
BSF BSR;r,r;
BSF BSR;r,m;
SETcc;r;
SETcc;m;
CLC STC CMC;;
CLD STD;;
JMP;short/near;
JMP;far;
JMP;r;
JMP;m(near);
JMP;m(far);
conditional jump;short/near;
J(E)CXZ;short;
LOOP;short;
LOOP(N)E;short;
CALL;near;
CALL;far;
CALL;r;
CALL;m(near);
CALL;m(far);
RETN;;
RETN;i;
RETF;;
RETF;i;
BOUND;r,m;
INTO;;
LODS;;
REP LODS;;
STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
SCAS;;
REP(N)E SCAS;;
CMPS;;
REP(N)E CMPS;;
NOP (90);;
Long NOP (0F 1F);;
PAUSE;;
CLI;;
STI;;
ENTER;i,0;
ENTER;a,b;
LEAVE;;
CPUID;;ca. 130
RDTSC;;
FLD;r;1
FLD;m32/64;1
FLD;m80;
FBLD;m80;
FST(P);r;
FST(P);m32/m64;1
FSTP;m80;
FBSTP;m80;
FXCH;r;0
FILD;m;5
FIST(P);m;5
FISTTP g);m;5
FLDZ;;
