MOV;r,r;1
MOV;r8/r16/r32,i;1
MOV;r64,i32;
MOV;r64,i64;
MOV;r8/r16,m;3
MOV;r32/r64,m;2
MOV;m,r;
MOV;m,i;
MOV;m64,i32;
MOV;r,sr;
MOV;sr,r/m;
MOV;r,mabs;
MOV;mabs,r;
MOVNTI;m,r32;
MOVZX;r,r;1
MOVZX;r16,r8;2
MOVZX;r,m;2
MOVSX;r16,r8;2
MOVSX;r32/r64,r8/r16;1
MOVSX;r,m;3
MOVSXD;r64,r32;1
CMOVcc;r,r/m;9.5
XCHG;r,r;2
XCHG;r,m;≈100
XLAT;;6
PUSH;r;2
PUSH;i;2
PUSH;m;2
PUSH;sr;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;1
POP;m;
POP;sr;
POPF(D/Q);;
POPA(D);;
LEA;r,[m];
LEA;r,[r+r/i];2.5
LEA;r,[r+r+i];3.5
LEA;r,[r*i];3.5
LEA;r,[r+r*i];3.5
LEA;r,[r+r*i+i];3.5
LAHF;;4
SAHF;;5
SALC;;
LDS, LES, ...;r,m;
LODS;;8
REP LODS;;≈ 4n+50
STOS;;8
REP STOS;;≈ 3n
MOVS;;8
REP MOVSB;;≈.3n
REP MOVSW;;≈ .6-1.4n
REP MOVSD;;≈ 1.4 n
REP MOVSQ;;≈ 1.4 n
BSWAP;r;1
IN, OUT;r,r/i;
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
SFENCE;;
LFENCE;;
MFENCE;;
ADD, SUB;r,r;1
ADD, SUB;r,m;1
ADD, SUB;m,r;5
ADC, SBB;r,r/i;10
ADC, SBB;r,m;10
ADC, SBB;m,r;20
ADC, SBB;m,i;22
CMP;r,r;1
CMP;r,m;1
INC, DEC;r;1
INC, DEC;m;5
NEG;r;1
NEG;m;5
AAA, AAS;;26
DAA, DAS;;29
AAD;;13
AAM;;71
MUL, IMUL;r8;10
MUL, IMUL;r16;11
MUL, IMUL;r32;11
MUL, IMUL;r64;11
MUL, IMUL;m8;10
MUL, IMUL;m16;11
MUL, IMUL;m32;11
MUL, IMUL;m64;11
IMUL;r16,r16;10
IMUL;r16,r16,i;11
IMUL;r32,r32;10
IMUL;r32,(r32),i;10
IMUL;r64,r64;10
IMUL;r64,(r64),i;10
IMUL;r16,m16;10
IMUL;r32,m32;10
IMUL;r64,m64;10
IMUL;r,m,i;10
DIV;r8/m8;74
DIV;r16/m16;73
DIV;r32/m32;76
DIV;r64/m64;63
IDIV;r8/m8;76
IDIV;r16/m16;79
IDIV;r32/m32;79
IDIV;r64/m64;96
CBW;;2
CWD;;2
CDQ;;1
CQO;;7
CWDE;;2
CDQE;;1
SCAS;;
REP SCAS;;var
CMPS;;
REP CMPS;;var
AND, OR, XOR;r,r;1
AND, OR, XOR;r,m;1
AND, OR, XOR;m,r;5
TEST;r,r;1
TEST;r,m;1
NOT;r;1
NOT;m;5
SHL;r,i;1
SHR, SAR;r8/r16/r32,i;1
SHR, SAR;r64,i;7
SHL;r,CL;2
SHR, SAR;r8/r16/r32,CL;2
SHR, SAR;r64,CL;8
ROL, ROR;r8/r16/r32,i;1
ROL, ROR;r64,i;7
ROL, ROR;r8/r16/r32,CL;2
ROL, ROR;r64,CL;8
RCL, RCR;r,1;7
RCL;r,i;31
RCR;r,i;25
RCL;r,CL;31
RCR;r,CL;25
SHL, SHR, SAR;m8/m16/m32,i;10
