MOV;r,r;1
MOV;r,i;1
MOV;r,m;4
MOV;m,r;3
MOV;m,i;
MOVNTI;m,r;
MOVSX MOVZX MOVSXD;r16,r8;
MOVSX MOVZX MOVSXD;r16,m8;
MOVSX MOVZX MOVSXD;r32/r64,r/m;1
CMOVcc;r,r;2
CMOVcc;r,m;
XCHG;r,r;8
XCHG;r,m;24
XLAT;;8
PUSH;r;
PUSH;i;
PUSH;m;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;
POP;(E/R)SP;
POP;m;
POPF(D/Q);;
POPA(D);;
LAHF;;1
SAHF;;2
SALC;;6
LEA;r,[r+d];1
LEA;r,[r+r*s];1
LEA;r,[r+r*s+d];2
LEA;r,[rip+d];
LEA;r16,[m];4
BSWAP;r;1
MOVBE;r16,m16;
MOVBE;r32/r64,m32/m64;
MOVBE;m,r;
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
PREFETCHNTW;m;
LFENCE;;
MFENCE;;
SFENCE;;
ADD SUB;r,r/i;1
ADD SUB;r,m;
ADD SUB;m,r/i;6
ADC SBB;r,r/i;2
ADC SBB;r,m;
ADC SBB;m,r/i;6
ADCX;r32,r32;2
ADCX;r64,r64;6
ADOX;r32,r32;2
ADOX;r64,r64;6
CMP;r,r/i;1
CMP;m,r/i;
INC DEC;r;1
NEG NOT;r;1
INC DEC NEG NOT;m;6
AAA;;12
AAS;;12
DAA;;16
DAS;;16
AAD;;5
AAM;;24
MUL IMUL;r8;5
MUL IMUL;r16;5
MUL IMUL;r32;5
MUL IMUL;r64;7
IMUL;r16,r16;4
IMUL;r32,r32;3
IMUL;r64,r64;5
IMUL;r16,r16,i;4
IMUL;r32,r32,i;3
IMUL;r64,r64,i;5
MUL IMUL;m8;
MUL IMUL;m16;
MUL IMUL;m32;
MUL IMUL;m64;14
MULX;r,r,r;8
MULX;r,r,m;
DIV;r/m8;24
DIV;r/m16;25-29
DIV;r/m32;25-39
DIV;r/m 64;34-94
IDIV;r/m8;24-35
IDIV;r/m16;37-41
IDIV;r/m32;29-46
IDIV;r/m64;47-107
CBW;;4
CWDE;;1
CDQE;;1
CWD;;4
CDQ;;1
CQO;;1
POPCNT;r16,r16;4
POPCNT;r32,r32;3
POPCNT;r64,r64;3
CRC32;r32,r8;4
CRC32;r32,r16;6
CRC32;r32,r32;3
AND OR XOR;r,r/i;1
AND OR XOR;r,m;
AND OR XOR;m,r/i;6
TEST;r,r/i;1
TEST;m,r/i;
SHR SHL SAR;r,i/cl;1
SHR SHL SAR;m,i/cl;
ROR ROL;r,i/cl;1
ROR ROL;m,i/cl;
RCR;r,1;9
RCL;r,1;2
RCR;r,i/cl;12
RCR;m,i/cl;13
RCL;r,i/cl;12
RCL;m,i/cl;14
SHLD;r16,r16,i;10
SHLD;r32,r32,i;2
SHLD;r64,r64,i;10
