MOV;r,i;
MOV;r8/r16,r8/r16;1
MOV;r32/r64,r32/r64;0-1
MOV;r8l,m;
MOV;r8h,m;
MOV;r16,m;
MOV;r32/r64,m;2
MOV;m,r;2
MOV;m,i;
MOVNTI;m,r;~400
MOVSX MOVZX MOVSXD;r,r;1
MOVSX MOVZX;r16,m8;2
MOVSX MOVZX MOVSXD;r,m;2
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r,r;2
XCHG;r,m;23
XLAT;;7
PUSH;r;3
PUSH;i;
PUSH;m;
PUSH;stack pointer;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;2
POP;stack pointer;
POP;m;
POPF(D/Q);;
POPA(D);;
LAHF SAHF;;1
SALC;;1
LEA;r16,m;2-4
LEA;r32/r64,m;1
LEA;r32/r64,m;3
LEA;r32/r64,m;
BSWAP;r32;1
BSWAP;r64;2
MOVBE;r16,m16;
MOVBE;r32,m32;
MOVBE;r64,m64;
MOVBE;m16,r16;
MOVBE;m32,r32;
MOVBE;m64,r64;
PREFETCHNTA/0/1/2;m;
PREFETCHW;m;
LFENCE;;
MFENCE;;
SFENCE;;
ADD SUB;r,r/i;1
ADD SUB;r,m;
ADD SUB;m,r/i;5
ADC SBB;r,r/i;1
ADC SBB;r,m;
ADC SBB;m,r/i;5
ADCX ADOX;r,r;1
CMP ;r,r/i;1
CMP ;m,r/i;1
INC DEC NEG NOT;r;1
INC DEC NOT;m;5
NEG;m;5
AAA;;4
AAS;;4
DAA DAS;;4
AAD;;4
AAM;;23
MUL IMUL;r8;3
MUL IMUL;r16;4
MUL IMUL;r32;4
MUL IMUL;r64;3
MUL IMUL;m8;
MUL IMUL;m16;
MUL IMUL;m32;
MUL IMUL;m64;
IMUL;r,r;3
IMUL;r,m;
IMUL;r16,r16,i;4
IMUL;r32,r32,i;3
IMUL;r64,r64,i;3
IMUL;r16,m16,i;
IMUL;r32,m32,i;
IMUL;r64,m64,i;
MULX;r32,r32,r32;4
MULX;r32,r32,m32;
MULX;r64,r64,r64;4
MULX;r64,r64,m64;
DIV;r8;23
DIV;r16;23
DIV;r32;26
DIV;r64;35-88
IDIV;r8;24
IDIV;r16;23
IDIV;r32;26
IDIV;r64;42-95
CBW;;1
CWDE;;1
CDQE;;1
CWD;;1
CDQ;;1
CQO;;1
POPCNT;r,r;3
POPCNT;r,m;
CRC32;r,r;3
CRC32;r,m;
AND OR XOR;r,r/i;1
AND OR XOR;r,m;
AND OR XOR;m,r/i;5
TEST;r,r/i;1
TEST;m,r/i;1
SHR SHL SAR;r,i;1
SHR SHL SAR;m,i;
SHR SHL SAR;r,cl;2
SHR SHL SAR;m,cl;
ROR ROL;r,1;1
ROR ROL;r,i;1
ROR ROL;m,i;
ROR ROL;r,cl;2
ROR ROL;m,cl;
RCR RCL;r,1;2
RCR RCL;m,1;
RCR RCL;r,i;6
RCR RCL;m,i;
RCR RCL;r,cl;6
RCR RCL;m,cl;
SHRD SHLD;r,r,i;3
SHRD SHLD;m,r,i;
SHLD;r,r,cl;3
SHRD;r,r,cl;4
SHRD SHLD;m,r,cl;
SHLX SHRX SARX;r,r,r;1
SHLX SHRX SARX;r,m,r;
RORX;r,r,i;1
RORX;r,m,i;
BT;r,r/i;1
BT;m,r;
BT;m,i;
BTR BTS BTC;r,r/i;1
BTR BTS BTC;m,r;
BTR BTS BTC;m,i;
BSF BSR;r,r;3
BSF BSR;r,m;
SETcc;r;1
SETcc;m;
CLC;;
STC;;
CMC;;1
CLD STD;;
LZCNT;r,r;3
LZCNT;r,m;
TZCNT;r,r;3
TZCNT;r,m;
ANDN;r,r,r;1
ANDN;r,r,m;1
BLSI BLSMSK BLSR;r,r;1
BLSI BLSMSK BLSR;r,m;
BEXTR;r,r,r;2
BEXTR;r,m,r;
BZHI;r,r,r;1
BZHI;r,m,r;
PDEP;r,r,r;3
PDEP;r,r,m;
PEXT;r,r,r;3
PEXT;r,r,m;
JMP;short/near;
JMP;r;
JMP;m;
Conditional jump;short/near;
Conditional jump;short/near;
Fused arithmetic and branch;;
Fused arithmetic and branch;;
J(E/R)CXZ;short;
LOOP;short;
LOOP(N)E;short;
CALL;near;
CALL;r;
CALL;m;
RET;;
RET;i;
BOUND;r,m;
INTO;;
LODSB/W;;
LODSD/Q;;
REP LODS;;
STOS;;
REP STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
REP MOVS;;
SCAS;;
REP SCAS;;
CMPS;;
REP CMPS;;
XADD;m,r;
LOCK XADD;m,r;
LOCK ADD;m,r;
CMPXCHG;m,r;
LOCK CMPXCHG;m,r;
CMPXCHG8B;m,r;
LOCK CMPXCHG8B;m,r;
CMPXCHG16B;m,r;
LOCK CMPXCHG16B;m,r;
NOP;;
Long NOP;;
PAUSE;;
ENTER;a,0;
ENTER;a,b;~87+2b
LEAVE;;
XGETBV;;
CPUID;;
RDTSC;;
RDTSCP;;
RDPMC;;
RDRAND;r;
RDSEED;r;
FLD;r;1
FLD;m32/m64;3
FLD;m80;4
FBLD;m80;46
FST(P);r;1
FST(P);m32/m64;3
FSTP;m80;4
FBSTP;m80;264
FXCH;r;0
FILD;m;5
FIST(P);m;7
FISTTP;m;7
FLDZ;;
FLD1;;
FLDPI FLDL2E etc.;;
FCMOVcc;r;3
FNSTSW;AX;6
FNSTSW;m16;6
FLDCW;m16;7
FNSTCW;m16;6
FINCSTP FDECSTP;;0
FFREE(P);r;
FNSAVE;m;176
FRSTOR;m;175
FADD(P) FSUB(R)(P);r;3
FADD(P) FSUB(R)(P);m;
FMUL(P);r;5
FMUL(P);m;
FDIV(R)(P);r;14-16
FDIV(R)(P);m;
FABS;;1
FCHS;;1
FCOM(P) FUCOM;r;3
FCOM(P) FUCOM;m;
FCOMPP FUCOMPP;;
FCOMI(P) FUCOMI(P);r;4
FIADD FISUB(R);m;
FIMUL;m;
FIDIV(R);m;
FICOM(P);m;
FTST;;3
FXAM;;6
FPREM;;26-30
FPREM1;;30-57
FRNDINT;;21
FSCALE;;11
FXTRACT;;11
FSQRT;;14-21
FSIN;;50-120
FCOS;;50-130
FSINCOS;;55-150
F2XM1;;65-80
FYL2X ;;103
FYL2XP1;;77
FPTAN;;140-160
FPATAN;;100-160
FNOP;;
WAIT;;
FNCLEX;;
FNINIT;;
MOVD;r32/r64,mm/x;2
MOVD;m32/m64,mm/x;3
