MOV;r8,r8;1
MOV;r16,r16;1
MOV;r32,r32;1
MOV;r64,r64;1
MOV;r,i;1
MOV;r,m;3
MOV;m,r;4
MOV;m,i;
MOVNTI;m,r;4
MOVZX, MOVSX;r,r;1
MOVSX;r,m;5
MOVZX;r,m;4
MOVSXD;r64,r32;1
MOVSXD;r64,m32;5
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r8,r8;1
XCHG;r16,r16;1
XCHG;r32,r32;1
XCHG;r64,r64;1
XCHG;r,m;~38
XLAT;;6
PUSH;r;
PUSH;i;
PUSH;m;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;
POP;m;
POPF(D/Q);;
POPA(D);;
POP;sp;2
LEA;r16,[m];2-3
LEA;r32,[m];2
LEA;r32/r64,[m];2
LEA;r32/r64,[m];1
LAHF;;3
SAHF;;2
SALC;;1
BSWAP;r;1
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
PREFETCH/W;m;
SFENCE;;
LFENCE;;
MFENCE;;
ADD, SUB;r,r;1
ADD, SUB;r,i;1
ADD, SUB;r,m;
ADD, SUB;m,r;7
ADD, SUB;m,i;7
ADC, SBB;r,r;1
ADC, SBB;r,i;1
ADC, SBB;r,m;1
ADC, SBB;m,r;9
ADC, SBB;m,i;9
CMP;r,r;1
CMP;r,i;1
CMP;r,m;
CMP;m,i;
INC, DEC, NEG;r;1
INC, DEC, NEG;m;7
AAA, AAS;;6
DAA;;8
DAS;;10
AAD;;6
AAM;;15
MUL, IMUL;r8/m8;4
MUL, IMUL;r16/m16;4
MUL, IMUL;r32/m32;4
MUL, IMUL;r64/m64;6
IMUL;r16,r16/m16;4
IMUL;r32,r32/m32;4
IMUL;r64,r64/m64;6
IMUL;r16,(r16),i;5
IMUL;r32,(r32),i;4
IMUL;r64,(r64),i;6
IMUL;r16,m16,i;
IMUL;r32,m32,i;
IMUL;r64,m64,i;
DIV;r8/m8;17-22
DIV;r16/m16;15-25
DIV;r32/m32;13-39
DIV;r64/m64;13-70
IDIV;r8/m8;17-22
IDIV;r16/m16;14-25
IDIV;r32/m32;13-39
IDIV;r64/m64;13-70
CBW, CWDE, CDQE;;1
CDQ, CQO;;1
CWD;;1
AND, OR, XOR;r,r;1
AND, OR, XOR;r,i;1
AND, OR, XOR;r,m;
AND, OR, XOR;m,r;7
AND, OR, XOR;m,i;7
TEST;r,r;1
TEST;r,i;1
TEST;m,r;
TEST;m,i;
NOT;r;1
NOT;m;7
ANDN;r,r,r;1
SHL, SHR, SAR;r,i/CL;1
ROL, ROR;r,i/CL;1
RCL;r,1;1
RCL;r,i;7
RCL;r,cl;7
RCR;r,1;1
RCR;r,i;7
RCR;r,cl;7
SHLD, SHRD;r,r,i;3
SHLD, SHRD;r,r,cl;4
SHLD, SHRD;m,r,i/CL;
BT;r,r/i;1
BT;m,i;
BT;m,r;
BTC, BTR, BTS;r,r/i;2
BTC, BTR, BTS;m,i;
BTC, BTR, BTS;m,r;
BSF;r,r;3
BSF;r,m;4
BSR;r,r;4
BSR;r,m;
SETcc;r;1
SETcc;m;
CLC, STC;;
CMC;;1
CLD;;
STD;;
POPCNT;r16/r32,r16/r32;4
POPCNT;r64,r64;4
LZCNT;r,r;2
TZCNT;r,r;2
BEXTR;r,r,r;2
BEXTR;r,r,i;2
BLSI;r,r;2
BLSMSK;r,r;2
BLSR;r,r;2
BLCFILL;r,r;2
BLCI;r,r;2
BLCIC;r,r;2
BLCMSK;r,r;2
BLCS;r,r;2
BLSFILL;r,r;2
BLSI;r,r;2
BLSIC;r,r;2
T1MSKC;r,r;2
TZMSK;r,r;2
JMP;short/near;
JMP;r;
JMP;m;
Jcc;short/near;
fused CMP+Jcc;short/near;
J(E/R)CXZ;short;
LOOP;short;
LOOPE LOOPNE;short;
CALL;near;
CALL;r;
CALL;m;
RET;;
RET;i;
BOUND;m;
INTO;;
LODS;;
REP LODS;m8/m16;
REP LODS;m32/m64;
STOS;;
REP STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
REP MOVS;;
SCAS;;
REP SCAS;;
CMPS;;
REP CMPS;;
LOCK ADD;m,r;~39
XADD;m,r;9-12
LOCK XADD;m,r;~39
CMPXCHG;m,r8;15
CMPXCHG;m,r16;15
CMPXCHG;m,r32/r64;13
LOCK CMPXCHG;m8,r8;~40
LOCK CMPXCHG;m16,r16;~40
LOCK CMPXCHG;m,r32/r64;~40
CMPXCHG8B;m64;~14
LOCK CMPXCHG8B;m64;~42
CMPXCHG16B;m128;~47
LOCK CMPXCHG16B;m128;~80
NOP (90);;
Long NOP (0F 1F);;
PAUSE;;
ENTER;a,0;
ENTER;a,b;
LEAVE;;
CPUID;;
XGETBV;;
RDTSC;;
RDTSCP;;
RDPMC ;;
CRC32;r32,r8;3
CRC32;r32,r16;5
CRC32;r32,r32;6
FLD;r;2
FLD;m32/64;7
FLD;m80;11
FBLD;m80;52
FST(P);r;2
FST(P);m32/64;7
FSTP;m80;14
FBSTP;m80;222
FXCH;r;0
FILD;m;11
FIST(T)(P);m;7
FLDZ, FLD1;;
FCMOVcc;st0,r;3
FFREE;r;
FINCSTP, FDECSTP;;0
FNSTSW;AX;11
FNSTSW;m16;
FLDCW;m16;
FNSTCW;m16;
FADD(P),FSUB(R)(P);r/m;5
FIADD,FISUB(R);m;
FMUL(P);r/m;5
FIMUL;m;
FDIV(R)(P);r;9-37
FDIV(R);m;
FIDIV(R);m;
FABS, FCHS;;2
FCOM(P), FUCOM(P);r/m;
FCOMPP, FUCOMPP;;
FCOMI(P);r;2
FICOM(P);m;
FTST;;
FXAM;;26
FRNDINT;;4
FPREM FPREM1;;17-60
FSQRT;;10-50
FLDPI, etc.;;
FSIN;;60-210
FCOS;;76-158
FSINCOS;;
FPTAN;;90-245
FPATAN;;60-440
FSCALE;;49
FXTRACT;;8
F2XM1;;60-74
FYL2X;;60-280
FYL2XP1;;~390
FNOP;;
(F)WAIT;;
FNCLEX;;
FNINIT;;
FNSAVE;m864;256
FRSTOR;m864;166
MOVD;r32/r64, mm/x;8
MOVD;mm/x, r32/r64;9
MOVD;mm/x,m32;2
MOVD;m32,mm/x;3
MOVQ;mm/x,mm/x;2
MOVQ;mm/x,m64;2
MOVQ;m64,mm/x;3
MOVDQA;x,x;0
MOVDQA;x,m;6
MOVDQA;m,x;5
VMOVDQA;y,y;6
VMOVDQA;y,m256;5
VMOVDQA;m256,y;4
MOVDQU;x,x;0
