MOV;r,r/i;1
MOV;r,m;2
MOV;m,r;3
MOV;m,i;3
MOV;r,sr;
MOV;m,sr;
MOV;sr,r;
MOV;sr,m;
MOVNTI;m,r;
MOVSX MOVZX MOVSXD;r,r;1
MOVSX MOVZX;r16/r32,m;
MOVSX MOVSXD;r64,m;
CMOVcc;r,r;2
CMOVcc;r,m;
XCHG;r,r;2
XCHG;r,m;high
XLAT;;4
PUSH;r;3
PUSH;i;
PUSH;m;
PUSH;sr;
PUSHF(D/Q);;
PUSHA(D);;
POP;r;2
POP;(E/R)SP;
POP;m;
POP;sr;
POPF(D/Q);;20
POPA(D);;
LAHF SAHF;;1
SALC;;4
LEA;r,m;1
BSWAP;r;4
LDS LES LFS LGS LSS;m;
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
LFENCE;;
MFENCE;;
SFENCE;;
CLFLUSH;m8;120
IN;;
OUT;;
ADD SUB;r,r/i;1
ADD SUB;r,m;
ADD SUB;m,r/i;6
ADC SBB;r,r/i;2
ADC SBB;r,m;2
ADC SBB;m,r/i;7
CMP;r,r/i;1
CMP;m,r/i;1
INC DEC NEG NOT;r;1
INC DEC NEG NOT;m;6
AAA AAS DAA DAS;;
AAD;;
AAM;;17
MUL IMUL;r8;3
MUL IMUL;r16;5
MUL IMUL;r32;5
MUL IMUL;r64;7
IMUL;r16,r16;3
IMUL;r32,r32;3
IMUL;r64,r64;5
IMUL;r16,r16,i;3
IMUL;r32,r32,i;3
IMUL;r64,r64,i;5
MUL IMUL;m8;3
MUL IMUL;m16;5
MUL IMUL;m32;5
MUL IMUL;m64;7
IMUL;r16,m16;3
IMUL;r32,m32;3
IMUL;r64,m64;5
IMUL;r16,m16,i;
IMUL;r32,m32,i;
IMUL;r64,m64,i;
DIV IDIV;r8;9-18
DIV IDIV;r16;14-22
DIV IDIV;r32;14-23
DIV;r64;18-57
IDIV;r64;34-88
DIV IDIV;m8;9-18
DIV IDIV;m16;14-22
DIV IDIV;m32;14-23
DIV;m64;34-88
IDIV;m64;39-72
CBW CWDE CDQE;;1
CWD CDQ CQO;;1
AND OR XOR;r,r/i;1
AND OR XOR;r,m;
AND OR XOR;m,r/i;6
TEST;r,r/i;1
TEST;m,r/i;
SHR SHL SAR;r,i/cl;1
SHR SHL SAR;m,i/cl;6
ROR ROL;r,i/cl;1
ROR ROL;m,i/cl;6
RCR RCL;r,1;2
RCR;r8,i/cl;12
RCL;r8,i/cl;11
RCR RCL;r,i/cl;11
RCR RCL;m,1;7
RCR;m8,i/cl;14
RCL;m8,i/cl;13
RCR RCL;m,i/cl;13
SHLD SHRD;r,r,i/cl;2
SHLD SHRD;m,r,i/cl;7
BT;r,r/i;1
BT;m,r;
BT;m,i;
BTR BTS BTC;r,r/i;1
BTR BTS BTC;m,r;5
BTR BTS BTC;m,i;6
BSF BSR;r,r;2
BSF BSR;r,m;
SETcc;r;1
SETcc;m;
CLC STC CMC;;1
CLD;;
STD;;
JMP;short/near;0
JMP;far;
JMP;r;0
JMP;m(near);0
JMP;m(far);
Conditional jump;short/near;0
Fused compare/test and branch;;0
J(E/R)CXZ;short;
LOOP;short;
LOOP(N)E;short;
CALL;near;
CALL;far;
CALL;r;
CALL;m(near);
CALL;m(far);
RETN;;
RETN;i;
RETF;;
RETF;i;
BOUND;r,m;
INTO;;
LODS;;
REP LODS;;1+5n-21+3n
STOS;;
REP STOS;;7+2n-0.55n
MOVS;;
REP MOVS;;1+3n-0.63n
SCAS;;
REP(N)E SCAS;;3+8n-23+6n
CMPS;;
REP(N)E CMPS;;2+7n-22+5n
NOP (90);;
Long NOP (0F 1F);;
PAUSE;;
ENTER;i,0;
ENTER;a,b;
LEAVE;;
CPUID;;
RDTSC;;
RDPMC;;
FLD;r;1
FLD;m32/m64;3
FLD;m80;4
FBLD;m80;45
FST(P);r;1
FST(P);m32/m64;3
FSTP;m80;4
FBSTP;m80;164
FXCH;r;0
FILD;m;6
FIST;m;6
FISTP;m;6
FISTTP;m;6
FLDZ;;
FLD1;;
FLDPI FLDL2E etc.;;
FCMOVcc;r;2
FNSTSW;AX;
FNSTSW;m16;
FLDCW;m16;
FNSTCW;m16;
FINCSTP FDECSTP;;1
FFREE(P);r;
FNSAVE;m;
FRSTOR;m;
FADD(P) FSUB(R)(P);r;3
FADD(P) FSUB(R)(P);m;
FMUL(P);r;5
FMUL(P);m;
FDIV(R)(P);r;6-21
FDIV(R)(P);m;6-21
FABS;;1
FCHS;;1
FCOM(P) FUCOM;r;
FCOM(P) FUCOM;m;
FCOMPP FUCOMPP;;
FCOMI(P) FUCOMI(P);r;
FIADD FISUB(R);m;3
FIMUL;m;5
FIDIV(R);m;6-21
FICOM(P);m;
FTST;;
FXAM;;
FPREM;;13-40
FPREM1;;18-41
FRNDINT;;10-22
FSCALE;;43
FXTRACT;;~170
FSQRT;;6-20
FSIN;;32-85
FCOS;;70-100
FSINCOS;;38-107
F2XM1;;45
FYL2X  FYL2XP1;;50-100
FPTAN;;40-130
FPATAN;;55-130
FNOP;;
WAIT;;
FNCLEX;;
FNINIT;;
MOVD;r,mm/x;2
MOVD;m,mm/x;3
MOVD;mm/x,r;2
MOVD;mm/x,m;2
MOVQ;v,v;1
MOVQ;mm/x,m64;2
MOVQ;m64,mm/x;3
MOVDQA;xmm,xmm;1
MOVDQA;xmm,m128;2
MOVDQA;m128,xmm;3
MOVDQU;m128,xmm;3-8
MOVDQU;xmm,m128;2-8
LDDQU;xmm,m128;2-8
MOVDQ2Q;mm,xmm;1
MOVQ2DQ;xmm,mm;1
MOVNTQ;m64,mm;
MOVNTDQ;m128,xmm;
MOVNTDQA;xmm,m128;2
PACKSSWB/DW PACKUSWB;mm,mm;1
PACKSSWB/DW PACKUSWB;mm,m64;
PACKSSWB/DW PACKUSWB;xmm,xmm;1
PACKSSWB/DW PACKUSWB;xmm,m128;
PACKUSDW;xmm,xmm;1
PACKUSDW;xmm,m;
PUNPCKH/LBW/WD/DQ;mm,mm;1
PUNPCKH/LBW/WD/DQ;mm,m64;
PUNPCKH/LBW/WD/DQ;xmm,xmm;1
PUNPCKH/LBW/WD/DQ;xmm,m128;
PUNPCKH/LQDQ;xmm,xmm;1
PUNPCKH/LQDQ;xmm,m128;
PMOVSX/ZXBW;xmm,xmm;1
PMOVSX/ZXBW;xmm,m64;
PMOVSX/ZXBD;xmm,xmm;1
PMOVSX/ZXBD;xmm,m32;
PMOVSX/ZXBQ;xmm,xmm;1
PMOVSX/ZXBQ;xmm,m16;
PMOVSX/ZXWD;xmm,xmm;1
PMOVSX/ZXWD;xmm,m64;
PMOVSX/ZXWQ;xmm,xmm;1
PMOVSX/ZXWQ;xmm,m32;
PMOVSX/ZXDQ;xmm,xmm;1
PMOVSX/ZXDQ;xmm,m64;
PSHUFB;mm,mm;1
PSHUFB;mm,m64;
PSHUFB;xmm,xmm;1
PSHUFB;xmm,m128;
PSHUFW;mm,mm,i;1
PSHUFW;mm,m64,i;
PSHUFD;xmm,xmm,i;1
PSHUFD;xmm,m128,i;
PSHUFL/HW;xmm,xmm,i;1
PSHUFL/HW;x,m128,i;
PALIGNR;mm,mm,i;2
PALIGNR;mm,m64,i;
PALIGNR;xmm,xmm,i;1
PALIGNR;xmm,m128,i;
PBLENDVB;x,x,xmm0;2
PBLENDVB;x,m,xmm0;
PBLENDW;xmm,xmm,i;1
PBLENDW;xmm,m,i;
MASKMOVQ;mm,mm;
MASKMOVDQU;xmm,xmm;
PMOVMSKB;r32,mm/x;2
PEXTRB;r32,xmm,i;3
PEXTRB;m8,xmm,i;3
PEXTRW;r32,mm/x,i;3
PEXTRW;m16,mm/x,i;
PEXTRD;r32,xmm,i;3
PEXTRD;m32,xmm,i;
PEXTRQ;r64,xmm,i;3
PEXTRQ;m64,xmm,i;
PINSRB;xmm,r32,i;1
PINSRB;xmm,m8,i;
PINSRW;mm/x,r32,i;2
PINSRW;mm/x,m16,i;
PINSRD;xmm,r32,i;1
PINSRD;xmm,m32,i;
PINSRQ;xmm,r64,i;1
PINSRQ;xmm,m64,i;
PADD/SUB(U)(S)B/W/D;v,v;1
PADD/SUB(U)(S)B/W/D;mm/x,m;
PADDQ PSUBQ;v,v;2
PADDQ PSUBQ;mm/x,m;
PHADD(S)W PHSUB(S)W;v,v;3
PHADD(S)W PHSUB(S)W;mm/x,m64;
PHADDD PHSUBD;v,v;3
PHADDD PHSUBD;mm/x,m64;
PCMPEQ/GTB/W/D;v,v;1
PCMPEQ/GTB/W/D;mm/x,m;
PCMPEQQ;xmm,xmm;1
PCMPEQQ;xmm,m128;
PMULL/HW PMULHUW;v,v;3
PMULL/HW PMULHUW;mm/x,m;
PMULHRSW;v,v;3
PMULHRSW;mm/x,m;
PMULLD;xmm,xmm;5
PMULLD;xmm,m128;5
PMULDQ;xmm,xmm;3
PMULDQ;xmm,m128;
PMULUDQ;v,v;3
PMULUDQ;mm/x,m;
PMADDWD;v,v;3
PMADDWD;mm/x,m;
PMADDUBSW;v,v;3
PMADDUBSW;mm/x,m;
PAVGB/W;v,v;1
PAVGB/W;mm/x,m;
PMIN/MAXSB;xmm,xmm;1
PMIN/MAXSB;xmm,m128;
PMIN/MAXUB;v,v;1
PMIN/MAXUB;mm/x,m;
PMIN/MAXSW;v,v;1
PMIN/MAXSW;mm/x,m;
PMIN/MAXUW;xmm,xmm;1
PMIN/MAXUW;xmm,m;
PMIN/MAXSD;xmm,xmm;1
PMIN/MAXSD;xmm,m128;
PMIN/MAXUD;xmm,xmm;1
PMIN/MAXUD;xmm,m128;
PHMINPOSUW;xmm,xmm;4
PHMINPOSUW;xmm,m128;
PABSB PABSW PABSD;v,v;1
PABSB PABSW PABSD;mm/x,m;
PSIGNB PSIGNW PSIGND;v,v;1
PSIGNB PSIGNW PSIGND;mm/x,m;
PSADBW;v,v;3
PSADBW;mm/x,m;
MPSADBW;xmm,xmm,i;5
MPSADBW;xmm,m,i;
PAND(N) POR PXOR;v,v;1
PAND(N) POR PXOR;mm/x,m;
PTEST;xmm,xmm;1
PTEST;xmm,m128;
PSLL/RL/RAW/D/Q;mm,mm/i;1
PSLL/RL/RAW/D/Q;mm,m64;
PSLL/RL/RAW/D/Q;xmm,i;1
PSLL/RL/RAW/D/Q;xmm,xmm;2
PSLL/RL/RAW/D/Q;xmm,m128;
PSLL/RLDQ;xmm,i;1
EMMS;;
MOVAPS/D;xmm,xmm;1
MOVAPS/D;xmm,m128;2
MOVAPS/D;m128,xmm;3
MOVUPS/D;xmm,m128;2-4
MOVUPS/D;m128,xmm;3-4
MOVSS/D;xmm,xmm;1
MOVSS/D;x,m32/m64;2
MOVSS/D;m32/m64,x;3
MOVHPS/D MOVLPS/D;xmm,m64;3
MOVHPS/D;m64,xmm;5
MOVLPS/D;m64,xmm;3
MOVLHPS MOVHLPS;xmm,xmm;1
MOVMSKPS/D;r32,xmm;1
MOVNTPS/D;m128,xmm;
SHUFPS;xmm,xmm,i;1
SHUFPS;xmm,m128,i;
SHUFPD;xmm,xmm,i;1
SHUFPD;xmm,m128,i;
BLENDPS/PD;xmm,xmm,i;1
BLENDPS/PD;xmm,m128,i;
BLENDVPS/PD;x,x,xmm0;2
BLENDVPS/PD;x,m,xmm0;
MOVDDUP;xmm,xmm;1
MOVDDUP;xmm,m64;
MOVSH/LDUP;xmm,xmm;1
MOVSH/LDUP;xmm,m128;
UNPCKH/LPS;xmm,xmm;1
UNPCKH/LPS;xmm,m128;
UNPCKH/LPD;xmm,xmm;1
UNPCKH/LPD;xmm,m128;
EXTRACTPS;r32,xmm,i;4
EXTRACTPS;m32,xmm,i;
INSERTPS;xmm,xmm,i;1
INSERTPS;xmm,m32,i;
CVTPD2PS;xmm,xmm;4
CVTPD2PS;xmm,m128;
CVTSD2SS;xmm,xmm;4
CVTSD2SS;xmm,m64;
CVTPS2PD;xmm,xmm;2
CVTPS2PD;xmm,m64;
CVTSS2SD;xmm,xmm;2
CVTSS2SD;xmm,m32;
CVTDQ2PS;xmm,xmm;3
CVTDQ2PS;xmm,m128;
CVT(T) PS2DQ;xmm,xmm;3
CVT(T) PS2DQ;xmm,m128;
CVTDQ2PD;xmm,xmm;4
CVTDQ2PD;xmm,m64;
CVT(T)PD2DQ;xmm,xmm;4
CVT(T)PD2DQ;xmm,m128;
CVTPI2PS;xmm,mm;3
CVTPI2PS;xmm,m64;
CVT(T)PS2PI;mm,xmm;3
CVT(T)PS2PI;mm,m128;
CVTPI2PD;xmm,mm;4
CVTPI2PD;xmm,m64;
CVT(T) PD2PI;mm,xmm;4
CVT(T) PD2PI;mm,m128;
CVTSI2SS;xmm,r32;4
CVTSI2SS;xmm,m32;
CVT(T)SS2SI;r32,xmm;3
CVT(T)SS2SI;r32,m32;
CVTSI2SD;xmm,r32;4
CVTSI2SD;xmm,m32;
CVT(T)SD2SI;r32,xmm;3
CVT(T)SD2SI;r32,m64;
ADDSS/D SUBSS/D;xmm,xmm;3
ADDSS/D SUBSS/D;x,m32/m64;
ADDPS/D SUBPS/D;xmm,xmm;3
ADDPS/D SUBPS/D;xmm,m128;
ADDSUBPS/D;xmm,xmm;3
ADDSUBPS/D;xmm,m128;
HADDPS HSUBPS;xmm,xmm;7
HADDPS HSUBPS;xmm,m128;
HADDPD HSUBPD;xmm,xmm;6
HADDPD HSUBPD;xmm,m128;
MULSS;xmm,xmm;4
MULSS;xmm,m32;
MULSD;xmm,xmm;5
MULSD;xmm,m64;
MULPS;xmm,xmm;4
MULPS;xmm,m128;
MULPD;xmm,xmm;5
MULPD;xmm,m128;
DIVSS;xmm,xmm;6-13
DIVSS;xmm,m32;
DIVSD;xmm,xmm;6-21
DIVSD;xmm,m64;
DIVPS;xmm,xmm;6-13
DIVPS;xmm,m128;
DIVPD;xmm,xmm;6-21
DIVPD;xmm,m128;
RCPSS/PS;xmm,xmm;3
RCPSS/PS;xmm,m;
CMPccSS/D;xmm,xmm;3
CMPccSS/D;x,m32/m64;
CMPccPS/D;xmm,xmm;3
CMPccPS/D;xmm,m128;
COMISS/D UCOMISS/D;xmm,xmm;3
COMISS/D UCOMISS/D;x,m32/m64;
MAXSS/D MINSS/D;xmm,xmm;3
MAXSS/D MINSS/D;x,m32/m64;
MAXPS/D MINPS/D;xmm,xmm;3
MAXPS/D MINPS/D;xmm,m128;
ROUNDSS/D;xmm,xmm,i;3
ROUNDSS/D;xmm,m128,i;
ROUNDPS/D;xmm,xmm,i;3
ROUNDPS/D;xmm,m128,i;
DPPS;xmm,xmm,i;11
DPPS;xmm,m128,i;
DPPD;xmm,xmm,i;9
DPPD;xmm,m128,i;
SQRTSS/PS;xmm,xmm;6-13
SQRTSS/PS;xmm,m;
SQRTSD/PD;xmm,xmm;6-20
SQRTSD/PD;xmm,m;
RSQRTSS/PS;xmm,xmm;3
RSQRTSS/PS;xmm,m;
AND/ANDN/OR/XORPS/D;xmm,xmm;1
AND/ANDN/OR/XORPS/D;xmm,m128;
LDMXCSR;m32;
STMXCSR;m32;
FXSAVE;m4096;
FXRSTOR;m4096;
