MOV;r8,r8;1
MOV;r8h,r8;1
MOV;r16,r16;1
MOV;r32,r32;0
MOV;r64,r64;0
MOV;r,i;
MOV;r,m8/16;3
MOV;r,m32/64;0-3
MOV;m,r8/16;3
MOV;m,r32/64;0-3
MOV;m,i;
MOVNTI;m,r;~900
MOVZX, MOVSX;r,r;1
MOVZX, MOVSX;r,m;3-4
MOVSXD;r64,r32;1
MOVSXD;r64,m32;3
CMOVcc;r,r;1
CMOVcc;r,m;
XCHG;r8,r8;1
XCHG;r16,r16;1
XCHG;r32,r32;0
XCHG;r64,r64;0
XCHG;r,m;7-8
XLAT;;6
PUSH;r;
PUSH;i;
PUSH;m;
PUSHF(D/Q);;
PUSH;sp;
PUSHA(D);;
POP;r;
POP;m;
POPF(D/Q);;
POPA(D);;
POP;sp;
LEA;r16,[m];1-4
LEA;r32/64,[m];1
LEA;r32/64,[m];1
LEA;r32/64,[m];2
LAHF;;1
SAHF;;1
SALC;;1
BSWAP;r;1
MOVBE;r,[m];
MOVBE;[m],r;
PREFETCHNTA;m;
PREFETCHT0/1/2;m;
PREFETCH/W;m;
SFENCE;;
LFENCE;;
MFENCE;;
ADD, SUB;r,r;1
ADD, SUB;r,i;1
ADD, SUB;r,m;
ADD, SUB;m,r;7-8
ADC, SBB;r,r;1
ADC, SBB;r,i;1
ADC, SBB;r,m;1
ADC, SBB;m,r/i;8
ADCX ADOX;r,r;1
CMP;r,r;1
CMP;r,i;1
CMP;r,m;
CMP;m,i;
INC, DEC, NEG;r;1
INC, DEC, NEG;m;7-8
AAA, AAS;;6
DAA;;8
DAS;;10
AAD;;5
AAM;;13
MUL, IMUL;r8/m8;3
MUL, IMUL;r16/m16;3
MUL, IMUL;r32/m32;3
MUL, IMUL;r64/m64;3
IMUL;r,r;3
IMUL;r,m;
IMUL;r16,r16,i;4
IMUL;r32,r32,i;3
IMUL;r64,r64,i;3
IMUL;r16,m16,i;
IMUL;r32,m32,i;
IMUL;r64,m64,i;
MULX;r,r,r;4
DIV;r8/m8;11
DIV;r16/m16;11-12
DIV;r32/m32;9-12
DIV;r64/m64;9-17
IDIV;r8/m8;11
IDIV;r16/m16;11-12
IDIV;r32/m32;9-12
IDIV;r64/m64;9-17
CBW;;1
CWDE, CDQE;;1
CDQ, CQO;;1
CWD;;1
AND, OR, XOR;r,r;1
AND, OR, XOR;r,i;1
AND, OR, XOR;r,m;
AND, OR, XOR;m,r/i;7-8
TEST;r,r;1
TEST;r,i;1
TEST;m,r;
TEST;m,i;
NOT;r;1
NOT;m;7-8
ANDN;r,r,r;1
SHL, SHR, SAR;r,i/CL;1
ROL, ROR;r,i/CL;1
RCL;r,1;1
RCL;r,i;4
RCL;r,cl;4
RCR;r,1;1
RCR;r,i;3
RCR;r,cl;3
SHLD, SHRD;r,r,i;2
SHLD, SHRD;r,r,cl;2
SHLD, SHRD;m,r,i/CL;
SARX;r,r,r;1
SHLX;r,r,r;1
SHRX;r,r,r;1
RORX;r,r,i;1
BT;r,r/i;1
BT;m,i;
BT;m,r;
BTC, BTR, BTS;r,r/i;2
BTC, BTR, BTS;m,i;
BTC, BTR, BTS;m,r;
BSF;r,r;3
BSF;r,m;4
BSR;r,r;4
BSR;r,m;
SETcc;r;1
SETcc;m;
CLC;;
STC;;
CMC;;1
CLD;;
STD;;
POPCNT;r,r;1
LZCNT;r,r;1
TZCNT;r,r;2
BEXTR;r,r,r;1
BLSI;r,r;2
BLSMSK;r,r;2
BLSR;r,r;2
PDEP;r,r,r;3
PEXT;r,r,r;3
BZHI;r,r,r;1
JMP;short/near;
JMP;r;
JMP;m;
Jcc;short/near;
fused CMP+Jcc;short/near;
J(E/R)CXZ;short;
LOOP;short;
LOOPE LOOPNE;short;
CALL;near;
CALL;r;
CALL;m;
RET;;
RET;i;
BOUND;m;
INTO;;
LODS;;
REP LODS;m;
STOS;;
REP STOS;;
REP STOS;;
MOVS;;
REP MOVS;;
REP MOVS;;
SCAS;;
REP SCAS;;
CMPS;;
REP CMPS;;
LOCK ADD;m,r;~8
XADD;m,r;8
LOCK XADD;m,r;8
CMPXCHG;m,r8;9
CMPXCHG;m,r16/32/64;9
LOCK CMPXCHG;m,r;9
CMPXCHG8B;m64;10
LOCK CMPXCHG8B;m64;10
CMPXCHG16B;m128;15
LOCK CMPXCHG16B;m128;15
NOP (90);;
Long NOP (0F 1F);;
PAUSE;;
ENTER;a,0;
ENTER;a,b;
LEAVE;;
CPUID;;
XGETBV;;
RDTSC;;
RDTSCP;;
RDPMC ;;
CRC32;r32,r8;3
CRC32;r32,r16;3
CRC32;r32,r32;3
RDRAND ;r;
RDSEED;r16/32;
