ADCX (R32, M32)/[1;6]
ADCX (R64, M64)/[1;6]
ADOX (R32, M32)/[1;6]
ADOX (R64, M64)/[1;6]
AESDEC (XMM, M128)/[4;≤11]
AESDECLAST (XMM, M128)/[4;≤11]
AESENC (XMM, M128)/[4;≤11]
AESENCLAST (XMM, M128)/[4;≤11]
AESIMC (XMM, M128)/[≤12;≤15]
AESKEYGENASSIST (XMM, M128, I8)/[≤9;≤12]
VADDPD (XMM, XMM, M128)/[4;≤11]
VADDPD (YMM, YMM, M256)/[4;≤12]
VADDPS (XMM, XMM, M128)/[4;≤11]
VADDPS (YMM, YMM, M256)/[4;≤12]
VADDSD (XMM, XMM, M64)/[4;≤11]
VADDSS (XMM, XMM, M32)/[4;≤11]
VADDSUBPD (XMM, XMM, M128)/[4;≤11]
VADDSUBPD (YMM, YMM, M256)/[4;≤12]
VADDSUBPS (XMM, XMM, M128)/[4;≤11]
VADDSUBPS (YMM, YMM, M256)/[4;≤12]
VANDNPD (XMM, XMM, M128)/[1;≤8]
VANDNPD (YMM, YMM, M256)/[1;≤9]
VANDNPS (XMM, XMM, M128)/[1;≤8]
VANDNPS (YMM, YMM, M256)/[1;≤9]
VANDPD (XMM, XMM, M128)/[1;≤8]
VANDPD (YMM, YMM, M256)/[1;≤9]
VANDPS (XMM, XMM, M128)/[1;≤8]
VANDPS (YMM, YMM, M256)/[1;≤9]
VBLENDPD (XMM, XMM, M128, I8)/[1;≤8]
VBLENDPD (YMM, YMM, M256, I8)/[1;≤9]
VBLENDPS (XMM, XMM, M128, I8)/[1;≤8]
VBLENDPS (YMM, YMM, M256, I8)/[1;≤9]
VBLENDVPD (XMM, XMM, M128, XMM)/[1;≤8]
VBLENDVPD (XMM, XMM, XMM, XMM)/[1;2]
VBLENDVPD (YMM, YMM, M256, YMM)/[1;≤9]
VBLENDVPD (YMM, YMM, YMM, YMM)/[1;2]
VBLENDVPS (XMM, XMM, M128, XMM)/[1;≤8]
VBLENDVPS (XMM, XMM, XMM, XMM)/[1;2]
VBLENDVPS (YMM, YMM, M256, YMM)/[1;≤9]
VBLENDVPS (YMM, YMM, YMM, YMM)/[1;2]
VBROADCASTF128 (YMM, M128)/[≤5;≤8]
VBROADCASTSD (YMM, M64)/[≤5;≤8]
VBROADCASTSS (XMM, M32)/[≤4;≤7]
VBROADCASTSS (YMM, M32)/[≤5;≤8]
VCMPPD (XMM, XMM, M128, I8)/[4;≤11]
VCMPPD (YMM, YMM, M256, I8)/[4;≤12]
VCMPPS (XMM, XMM, M128, I8)/[4;≤11]
VCMPPS (YMM, YMM, M256, I8)/[4;≤12]
VCMPSD (XMM, XMM, M64, I8)/[4;≤11]
VCMPSS (XMM, XMM, M32, I8)/[4;≤11]
VCOMISD (XMM, M64)/[≤3;8]
VCOMISD (XMM, XMM)/≤3
VCOMISS (XMM, M32)/[≤3;8]
VCOMISS (XMM, XMM)/≤3
VCVTDQ2PD (XMM, M64)/[≤8;≤11]
VCVTDQ2PD (YMM, M128)/[≤9;≤12]
VCVTDQ2PS (XMM, M128)/[≤8;≤11]
VCVTDQ2PS (YMM, M256)/[≤9;≤12]
VCVTPD2DQ (XMM, M128)/[≤9;≤12]
VCVTPD2DQ (XMM, M256)/[≤12;≤15]
VCVTPD2PS (XMM, M128)/[≤9;≤12]
VCVTPD2PS (XMM, M256)/[≤12;≤15]
VCVTPS2DQ (XMM, M128)/[≤8;≤11]
VCVTPS2DQ (YMM, M256)/[≤9;≤12]
VCVTPS2PD (XMM, M64)/[≤8;≤11]
VCVTPS2PD (YMM, M128)/[≤9;≤12]
VCVTSD2SI (R32, M64)/[12;≤21]
VCVTSD2SI (R32, XMM)/≤7
VCVTSD2SI (R64, M64)/[≤11;12]
VCVTSD2SI (R64, XMM)/≤7
VCVTSD2SS (XMM, XMM, M64)/[1;≤12]
VCVTSD2SS (XMM, XMM, XMM)/[1;5]
VCVTSI2SD (XMM, XMM, M32)/[4;≤11]
VCVTSI2SD (XMM, XMM, M64)/[4;≤11]
VCVTSI2SD (XMM, XMM, R32)/[4;≤7]
VCVTSI2SD (XMM, XMM, R64)/[4;≤7]
VCVTSI2SS (XMM, XMM, M32)/[4;≤11]
VCVTSI2SS (XMM, XMM, M64)/[1;≤12]
VCVTSI2SS (XMM, XMM, R32)/[4;≤7]
VCVTSI2SS (XMM, XMM, R64)/[2;≤8]
VCVTSS2SD (XMM, XMM, M32)/[4;≤11]
VCVTSS2SD (XMM, XMM, XMM)/[4;5]
VCVTSS2SI (R32, M32)/[≤11;12]
VCVTSS2SI (R32, XMM)/≤7
VCVTSS2SI (R64, M32)/[≤11;12]
VCVTSS2SI (R64, XMM)/≤8
VCVTTPD2DQ (XMM, M128)/[≤9;≤12]
VCVTTPD2DQ (XMM, M256)/[≤12;≤15]
VCVTTPS2DQ (XMM, M128)/[≤8;≤11]
VCVTTPS2DQ (YMM, M256)/[≤9;≤12]
VCVTTSD2SI (R32, M64)/[12;≤21]
VCVTTSD2SI (R32, XMM)/≤7
VCVTTSD2SI (R64, M64)/[≤11;12]
VCVTTSD2SI (R64, XMM)/≤7
VCVTTSS2SI (R32, M32)/[≤11;12]
VCVTTSS2SI (R32, XMM)/≤7
VCVTTSS2SI (R64, M32)/[≤11;12]
VCVTTSS2SI (R64, XMM)/≤8
VDIVPD (XMM, XMM, M128)/[≤13.0;≤21]
VDIVPD (XMM, XMM, XMM)/[≤13.0;≤15]
VDIVPD (YMM, YMM, M256)/[≤13.0;≤22]
VDIVPD (YMM, YMM, YMM)/[≤13.0;≤15]
VDIVPS (XMM, XMM, M128)/[≤11.0;≤18]
VDIVPS (XMM, XMM, XMM)/[≤11.0;≤12]
VDIVPS (YMM, YMM, M256)/[≤11.0;≤19]
VDIVPS (YMM, YMM, YMM)/[≤11.0;≤12]
VDIVSD (XMM, XMM, M64)/[≤13.0;≤21]
VDIVSD (XMM, XMM, XMM)/[≤13.0;≤15]
VDIVSS (XMM, XMM, M32)/[≤11.0;≤18]
VDIVSS (XMM, XMM, XMM)/[≤11.0;≤12]
VDPPD (XMM, XMM, M128, I8)/[9;≤16]
VDPPS (XMM, XMM, M128, I8)/[13;≤20]
VDPPS (YMM, YMM, M256, I8)/[13;≤21]
VEXTRACTF128 (M128, YMM, I8)/[≤4;≤10]
VEXTRACTPS (M32, XMM, I8)/[≤5;≤10]
VEXTRACTPS (R32, XMM, I8)/≤4
