ADC (M16, 0)/[2;≤10]
ADC (M16, I16)/[2;≤10]
ADC (M16, I8)/[2;≤10]
ADC (M16, R16)/[1;≤10]
ADC (M32, 0)/[2;≤10]
ADC (M32, I32)/[2;≤10]
ADC (M32, I8)/[2;≤10]
ADC (M32, R32)/[1;≤10]
ADC (M64, 0)/[2;≤10]
ADC (M64, I32)/[2;≤10]
ADC (M64, I8)/[2;≤10]
ADC (M64, R64)/[1;≤10]
ADC (M8, 0)/[2;≤10]
ADC (M8, I8)/[2;≤10]
ADC (M8, R8h)/[2;≤10]
ADC (M8, R8l)/[2;≤10]
ADC (R16, M16)/[2;5]
ADC (R32, M32)/[2;5]
ADC (R64, M64)/[2;5]
ADC (R8h, M8)/[2;≤5]
ADC (R8l, M8)/[2;5]
ADC_10 (R8h, R8h)/[1;2]
ADC_10 (R8h, R8l)/[1;2]
ADC_10 (R8l, R8h)/[1;2]
ADC_10 (R8l, R8l)/[1;2]
ADC_11 (R16, R16)/[1;2]
ADC_11 (R32, R32)/[1;2]
ADC_11 (R64, R64)/[1;2]
ADC_12 (R8h, R8h)/[1;2]
ADC_12 (R8h, R8l)/[1;2]
ADC_12 (R8l, R8h)/[1;2]
ADC_12 (R8l, R8l)/[1;2]
ADC_13 (R16, R16)/[1;2]
ADC_13 (R32, R32)/[1;2]
ADC_13 (R64, R64)/[1;2]
ADC_LOCK (M16, 0)/[13;≤31]
ADC_LOCK (M16, I16)/[13;≤31]
ADC_LOCK (M16, I8)/[13;≤31]
ADC_LOCK (M16, R16)/[13;≤31]
ADC_LOCK (M32, 0)/[13;≤31]
ADC_LOCK (M32, I32)/[13;≤31]
ADC_LOCK (M32, I8)/[13;≤31]
ADC_LOCK (M32, R32)/[13;≤31]
ADC_LOCK (M64, 0)/[13;≤31]
ADC_LOCK (M64, I32)/[13;≤31]
ADC_LOCK (M64, I8)/[13;≤31]
ADC_LOCK (M64, R64)/[13;≤31]
ADC_LOCK (M8, 0)/[13;≤31]
ADC_LOCK (M8, I8)/[13;≤31]
ADC_LOCK (M8, R8h)/[13;≤31]
ADC_LOCK (M8, R8l)/[13;≤31]
ADD (M16, 0)/[≤5;≤9]
ADD (M16, I16)/[≤5;≤9]
ADD (M16, I8)/[≤5;≤9]
ADD (M16, R16)/[1;≤9]
ADD (M32, 0)/[≤5;≤9]
ADD (M32, I32)/[≤5;≤9]
ADD (M32, I8)/[≤5;≤9]
ADD (M32, R32)/[1;≤9]
ADD (M64, 0)/[≤5;≤9]
ADD (M64, I32)/[≤5;≤9]
ADD (M64, I8)/[≤5;≤9]
ADD (M64, R64)/[1;≤9]
ADD (M8, 0)/[≤5;≤9]
ADD (M8, I8)/[≤5;≤9]
ADD (M8, R8h)/[1;≤9]
ADD (M8, R8l)/[1;≤9]
ADD (R16, M16)/[1;≤5]
ADD (R32, M32)/[1;≤5]
ADD (R64, M64)/[1;≤5]
ADD (R8h, M8)/[1;≤5]
ADD (R8l, M8)/[1;≤5]
ADD_LOCK (M16, 0)/[≤13;≤29]
ADD_LOCK (M16, I16)/[≤13;≤29]
ADD_LOCK (M16, I8)/[≤13;≤29]
ADD_LOCK (M16, R16)/[12;≤30]
ADD_LOCK (M32, 0)/[≤13;≤29]
ADD_LOCK (M32, I32)/[≤13;≤29]
ADD_LOCK (M32, I8)/[≤13;≤29]
ADD_LOCK (M32, R32)/[12;≤30]
ADD_LOCK (M64, 0)/[≤13;≤29]
ADD_LOCK (M64, I32)/[≤13;≤29]
ADD_LOCK (M64, I8)/[≤13;≤29]
ADD_LOCK (M64, R64)/[12;≤30]
ADD_LOCK (M8, 0)/[≤13;≤29]
ADD_LOCK (M8, I8)/[≤13;≤29]
ADD_LOCK (M8, R8h)/[12;≤30]
ADD_LOCK (M8, R8l)/[12;≤30]
AND (M16, 0)/[≤5;≤9]
AND (M16, I16)/[≤5;≤9]
AND (M16, I8)/[≤5;≤9]
AND (M16, R16)/[1;≤9]
AND (M32, 0)/[≤5;≤9]
AND (M32, I32)/[≤5;≤9]
AND (M32, I8)/[≤5;≤9]
AND (M32, R32)/[1;≤9]
AND (M64, 0)/[≤5;≤9]
AND (M64, I32)/[≤5;≤9]
AND (M64, I8)/[≤5;≤9]
AND (M64, R64)/[1;≤9]
AND (M8, 0)/[≤5;≤9]
AND (M8, I8)/[≤5;≤9]
AND (M8, R8h)/[1;≤9]
AND (M8, R8l)/[1;≤9]
AND (R16, M16)/[1;≤5]
AND (R32, M32)/[1;≤5]
AND (R64, M64)/[1;≤5]
AND (R8h, M8)/[1;≤5]
AND (R8l, M8)/[1;≤5]
AND_LOCK (M16, 0)/[≤13;≤29]
AND_LOCK (M16, I16)/[≤13;≤29]
AND_LOCK (M16, I8)/[≤13;≤29]
AND_LOCK (M16, R16)/[12;≤30]
AND_LOCK (M32, 0)/[≤13;≤29]
AND_LOCK (M32, I32)/[≤13;≤29]
AND_LOCK (M32, I8)/[≤13;≤29]
AND_LOCK (M32, R32)/[12;≤30]
AND_LOCK (M64, 0)/[≤13;≤29]
AND_LOCK (M64, I32)/[≤13;≤29]
AND_LOCK (M64, I8)/[≤13;≤29]
AND_LOCK (M64, R64)/[12;≤30]
AND_LOCK (M8, 0)/[≤13;≤29]
AND_LOCK (M8, I8)/[≤13;≤29]
AND_LOCK (M8, R8h)/[12;≤30]
AND_LOCK (M8, R8l)/[12;≤30]
BSF (R16, M16)/[0;≤6]
BSF (R16, R16)/[0;2]
BSF (R32, M32)/[0;≤6]
BSF (R32, R32)/[0;2]
BSF (R64, M64)/[0;≤6]
BSF (R64, R64)/[0;2]
BSR (R16, M16)/[0;≤6]
BSR (R16, R16)/[0;2]
BSR (R32, M32)/[0;≤6]
BSR (R32, R32)/[0;2]
BSR (R64, M64)/[0;≤6]
BSR (R64, R64)/[0;2]
BT (M16, 0)/[4;≤5]
BT (M16, I8)/[4;≤5]
BT (M16, R16)/[≤5;9]
BT (M32, 0)/[4;≤5]
BT (M32, I8)/[4;≤5]
BT (M32, R32)/[≤5;9]
BT (M64, 0)/[4;≤5]
BT (M64, I8)/[4;≤5]
BT (M64, R64)/[≤6;8]
BTC (M16, 0)/[≤5;≤9]
BTC (M16, I8)/[≤5;≤9]
BTC (M16, R16)/[≤5;≤14]
BTC (M32, 0)/[≤5;≤9]
BTC (M32, I8)/[≤5;≤9]
BTC (M32, R32)/[≤5;≤14]
BTC (M64, 0)/[≤5;≤9]
BTC (M64, I8)/[≤5;≤9]
BTC (M64, R64)/[≤5;≤13]
BTC_LOCK (M16, 0)/[≤14;≤30]
BTC_LOCK (M16, I8)/[≤14;≤30]
BTC_LOCK (M16, R16)/[9;≤30]
BTC_LOCK (M32, 0)/[≤14;≤30]
BTC_LOCK (M32, I8)/[≤14;≤30]
BTC_LOCK (M32, R32)/[9;≤30]
BTC_LOCK (M64, 0)/[≤14;≤30]
BTC_LOCK (M64, I8)/[≤14;≤30]
BTC_LOCK (M64, R64)/[8;≤30]
BTR (M16, 0)/[≤5;≤9]
BTR (M16, I8)/[≤5;≤9]
BTR (M16, R16)/[≤5;≤14]
BTR (M32, 0)/[≤5;≤9]
BTR (M32, I8)/[≤5;≤9]
BTR (M32, R32)/[≤5;≤14]
BTR (M64, 0)/[≤5;≤9]
BTR (M64, I8)/[≤5;≤9]
BTR (M64, R64)/[≤5;≤13]
BTR_LOCK (M16, 0)/[≤14;≤30]
BTR_LOCK (M16, I8)/[≤14;≤30]
BTR_LOCK (M16, R16)/[9;≤30]
BTR_LOCK (M32, 0)/[≤14;≤30]
BTR_LOCK (M32, I8)/[≤14;≤30]
BTR_LOCK (M32, R32)/[9;≤30]
BTR_LOCK (M64, 0)/[≤14;≤30]
BTR_LOCK (M64, I8)/[≤14;≤30]
BTR_LOCK (M64, R64)/[8;≤30]
BTS (M16, 0)/[≤5;≤9]
BTS (M16, I8)/[≤5;≤9]
BTS (M16, R16)/[≤5;≤14]
BTS (M32, 0)/[≤5;≤9]
BTS (M32, I8)/[≤5;≤9]
BTS (M32, R32)/[≤5;≤14]
BTS (M64, 0)/[≤5;≤9]
BTS (M64, I8)/[≤5;≤9]
